instance_id,scale,CF_level,operation_count,method,display_method,seed_count,median_rpd_percent,median_runtime_seconds,median_runtime_budget_fraction,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_decoder_evaluations
CB1_CORE_M_CF1_R01,M,CF1,114,CSG-NI Phase6H provisional,CSG-NI,5,4.407051282051282,228.01657296501799,1.0000726884430613,111.52743116300553,0.48915539983774353,16819.0
CB1_CORE_M_CF1_R01,M,CF1,114,DABC-RIACRSP,DABC,5,16.025641025641026,228.00667066202732,1.0000292572895935,219.41203015198698,0.9623334655788903,20610.0
CB1_CORE_M_CF1_R01,M,CF1,114,GA,GA,5,12.01923076923077,228.01160121298744,1.000050882513103,215.20522282397724,0.9438825562455142,11656.0
CB1_CORE_M_CF1_R01,M,CF1,114,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.448717948717949,29.630337470036466,0.12995762048261608,27.637884258991107,0.12121879060961012,4040.0
CB1_CORE_M_CF1_R02,M,CF1,130,Adapted DCGA,DCGA,5,19.275990099009903,289.81299039599253,1.1146653476768944,262.1035315920017,1.0080905061230834,3994.0
CB1_CORE_M_CF1_R02,M,CF1,130,CSG-NI Phase6H provisional,CSG-NI,5,3.3725247524752477,260.0254968990339,1.0000980649962843,73.7233997519943,0.28355153750767037,16544.0
CB1_CORE_M_CF1_R02,M,CF1,130,DABC-RIACRSP,DABC,5,17.883663366336634,260.0030282199732,1.000011646999897,213.78795766300755,0.8222613756269521,18720.0
CB1_CORE_M_CF1_R02,M,CF1,130,GA,GA,5,8.508663366336634,260.0098223570094,1.00003777829619,237.72378952498548,0.9143222674037903,10767.0
CB1_CORE_M_CF1_R02,M,CF1,130,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.1361386138613865,36.284932252950966,0.1395574317421191,33.62123845895985,0.12931245561138405,4040.0
CB1_CORE_M_CF1_R03,M,CF1,115,Adapted DCGA,DCGA,5,13.20632870519858,259.00216791400453,1.1260963822348022,214.58436024800176,0.932975479339138,3994.0
CB1_CORE_M_CF1_R03,M,CF1,115,CSG-NI Phase6H provisional,CSG-NI,5,0.12915724895059735,230.02492376998998,1.0001083642173478,51.903303392988164,0.2256665364912529,16610.0
CB1_CORE_M_CF1_R03,M,CF1,115,DABC-RIACRSP,DABC,5,10.978366160800775,230.00368758197874,1.0000160329651249,199.89021173497895,0.8690878771086041,19831.0
CB1_CORE_M_CF1_R03,M,CF1,115,GA,GA,5,6.651598320955763,230.00452680900344,1.0000196817782758,208.05184145300882,0.9045732237087339,13059.0
CB1_CORE_M_CF1_R03,M,CF1,115,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,6.522441072005166,29.816607157001272,0.12963742242174467,21.59781390900025,0.0939035387347837,4040.0
CB1_CORE_M_CF1_R04,M,CF1,110,Adapted DCGA,DCGA,5,22.091310751104565,220.07631858697277,1.000346902668058,180.78777136598364,0.8217625971181075,4216.0
CB1_CORE_M_CF1_R04,M,CF1,110,CSG-NI Phase6H provisional,CSG-NI,5,0.18409425625920472,220.00859730801312,1.0000390786727869,32.122079191030934,0.14600945086832243,16642.0
CB1_CORE_M_CF1_R04,M,CF1,110,DABC-RIACRSP,DABC,5,10.89837997054492,220.0024778599618,1.0000112629998263,200.26371907198336,0.910289632145379,20855.0
CB1_CORE_M_CF1_R04,M,CF1,110,GA,GA,5,7.621502209131075,220.00727029299014,1.0000330467863188,217.0158112809877,0.9864355058226714,11876.0
CB1_CORE_M_CF1_R04,M,CF1,110,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,6.811487481590574,27.88781145302346,0.1267627793319248,26.67952443199465,0.12127056559997569,4040.0
CB1_CORE_M_CF1_R05,M,CF1,110,Adapted DCGA,DCGA,5,11.621335217237725,220.50269557500724,1.0022849798863966,201.35673103202134,0.9152578683273698,4320.0
CB1_CORE_M_CF1_R05,M,CF1,110,CSG-NI Phase6H provisional,CSG-NI,5,0.4592016955139527,220.01333131600404,1.0000605968909275,198.7542410660535,0.9034283684820614,16714.0
CB1_CORE_M_CF1_R05,M,CF1,110,DABC-RIACRSP,DABC,5,6.534793359237018,220.0084672999801,1.0000384877271824,209.45026079000672,0.9520466399545761,21066.0
CB1_CORE_M_CF1_R05,M,CF1,110,GA,GA,5,4.309431296361709,220.01120096098748,1.000050913459034,195.85553868100396,0.8902524485500181,11248.0
CB1_CORE_M_CF1_R05,M,CF1,110,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.051218650653479,28.149762419983745,0.12795346554538065,26.426734415988903,0.12012152007267683,4040.0
CB1_CORE_M_CF2_R01,M,CF2,122,Adapted DCGA,DCGA,5,21.28777923784494,287.9443766690092,1.1800999043811853,227.69939183801762,0.9331942288443345,3994.0
CB1_CORE_M_CF2_R01,M,CF2,122,CSG-NI Phase6H provisional,CSG-NI,5,2.59526938239159,244.00333290698472,1.0000136594548554,162.9190268300008,0.6677009296311508,16654.0
CB1_CORE_M_CF2_R01,M,CF2,122,DABC-RIACRSP,DABC,5,17.57555847568988,244.00592458696337,1.0000242810941122,226.18455879000248,0.926985896680338,18584.0
CB1_CORE_M_CF2_R01,M,CF2,122,GA,GA,5,14.09329829172142,244.00984278399847,1.0000403392786823,226.76371296300204,0.9293594793565657,11964.0
