instance,instance_seed,split,group,level,training_seed,bc_makespan,phase5a_ppo_mean_makespan,frozen_o_hybrid_mean_makespan,phase5b_makespan,phase5b_gap_to_bc_percent,feasible
synthetic_M_74002,74002,phase5b_structural,high_reconfiguration,M,520101,1596.0,1570.3333333333333,1628.6666666666667,1254.0,-21.428571428571427,True
synthetic_M_74002,74002,phase5b_structural,high_reconfiguration,M,520102,1596.0,1570.3333333333333,1628.6666666666667,1519.0,-4.824561403508772,True
synthetic_M_74002,74002,phase5b_structural,high_reconfiguration,M,520103,1596.0,1570.3333333333333,1628.6666666666667,1659.0,3.9473684210526314,True
synthetic_M_74003,74003,phase5b_structural,high_reconfiguration,M,520101,715.0,620.0,614.6666666666666,647.0,-9.51048951048951,True
synthetic_M_74003,74003,phase5b_structural,high_reconfiguration,M,520102,715.0,620.0,614.6666666666666,572.0,-20.0,True
synthetic_M_74003,74003,phase5b_structural,high_reconfiguration,M,520103,715.0,620.0,614.6666666666666,627.0,-12.307692307692308,True
synthetic_M_74004,74004,phase5b_structural,high_reconfiguration,M,520101,1634.0,1279.6666666666667,1251.6666666666667,1190.0,-27.172582619339046,True
synthetic_M_74004,74004,phase5b_structural,high_reconfiguration,M,520102,1634.0,1279.6666666666667,1251.6666666666667,1180.0,-27.784577723378213,True
synthetic_M_74004,74004,phase5b_structural,high_reconfiguration,M,520103,1634.0,1279.6666666666667,1251.6666666666667,1325.0,-18.910648714810282,True
synthetic_M_74005,74005,phase5b_structural,high_reconfiguration,M,520101,1731.0,1764.3333333333333,1691.0,1696.0,-2.021952628538417,True
synthetic_M_74005,74005,phase5b_structural,high_reconfiguration,M,520102,1731.0,1764.3333333333333,1691.0,1677.0,-3.119584055459272,True
synthetic_M_74005,74005,phase5b_structural,high_reconfiguration,M,520103,1731.0,1764.3333333333333,1691.0,1714.0,-0.9820912767186597,True
synthetic_M_74006,74006,phase5b_structural,high_reconfiguration,M,520101,974.0,954.3333333333334,962.6666666666666,935.0,-4.0041067761806985,True
synthetic_M_74006,74006,phase5b_structural,high_reconfiguration,M,520102,974.0,954.3333333333334,962.6666666666666,938.0,-3.696098562628337,True
synthetic_M_74006,74006,phase5b_structural,high_reconfiguration,M,520103,974.0,954.3333333333334,962.6666666666666,1063.0,9.137577002053389,True
synthetic_M_74007,74007,phase5b_structural,high_reconfiguration,M,520101,1024.0,987.6666666666666,1055.0,948.0,-7.421875,True
synthetic_M_74007,74007,phase5b_structural,high_reconfiguration,M,520102,1024.0,987.6666666666666,1055.0,956.0,-6.640625,True
synthetic_M_74007,74007,phase5b_structural,high_reconfiguration,M,520103,1024.0,987.6666666666666,1055.0,1117.0,9.08203125,True
synthetic_M_74008,74008,phase5b_structural,high_reconfiguration,M,520101,1642.0,1492.6666666666667,1541.0,917.0,-44.15347137637028,True
synthetic_M_74008,74008,phase5b_structural,high_reconfiguration,M,520102,1642.0,1492.6666666666667,1541.0,1297.0,-21.010962241169306,True
synthetic_M_74008,74008,phase5b_structural,high_reconfiguration,M,520103,1642.0,1492.6666666666667,1541.0,1554.0,-5.35931790499391,True
synthetic_M_74009,74009,phase5b_structural,high_reconfiguration,M,520101,591.0,637.0,729.6666666666666,512.0,-13.367174280879865,True
synthetic_M_74009,74009,phase5b_structural,high_reconfiguration,M,520102,591.0,637.0,729.6666666666666,606.0,2.5380710659898478,True
synthetic_M_74009,74009,phase5b_structural,high_reconfiguration,M,520103,591.0,637.0,729.6666666666666,671.0,13.536379018612521,True
synthetic_M_74010,74010,phase5b_structural,high_reconfiguration,M,520101,771.0,876.0,829.0,648.0,-15.95330739299611,True
synthetic_M_74010,74010,phase5b_structural,high_reconfiguration,M,520102,771.0,876.0,829.0,660.0,-14.396887159533074,True
synthetic_M_74010,74010,phase5b_structural,high_reconfiguration,M,520103,771.0,876.0,829.0,928.0,20.363164721141374,True
synthetic_M_74001,74001,phase5b_structural,high_travel,M,520101,1976.0,1868.6666666666667,1994.3333333333333,1509.0,-23.633603238866396,True
synthetic_M_74001,74001,phase5b_structural,high_travel,M,520102,1976.0,1868.6666666666667,1994.3333333333333,1796.0,-9.109311740890687,True
synthetic_M_74001,74001,phase5b_structural,high_travel,M,520103,1976.0,1868.6666666666667,1994.3333333333333,1858.0,-5.97165991902834,True
