Method,Instance,Scale,CF,Best,Mean,Median,Std,Mean RPD (%),Median RPD (%),Rank,Attains BKS
GA,CB1_CORE_M_CF2_R01,M,CF2,3231,3420.40,3473.00,123.43,12.365,14.093,3.00,False
DCGA,CB1_CORE_M_CF2_R01,M,CF2,3642,3701.00,3692.00,49.87,21.583,21.288,5.00,False
DABC,CB1_CORE_M_CF2_R01,M,CF2,3408,3555.60,3579.00,107.97,16.807,17.576,4.00,False
LG_HGA,CB1_CORE_M_CF2_R01,M,CF2,3195,3304.60,3276.00,116.37,8.561,7.622,2.00,False
CSG-NI,CB1_CORE_M_CF2_R01,M,CF2,3044,3113.20,3123.00,42.53,2.273,2.595,1.00,True
GA,CB1_CORE_M_CF2_R02,M,CF2,2729,2855.20,2830.00,123.67,12.013,11.024,3.00,False
DCGA,CB1_CORE_M_CF2_R02,M,CF2,3159,3203.20,3202.00,34.52,25.665,25.618,5.00,False
DABC,CB1_CORE_M_CF2_R02,M,CF2,2800,2942.40,2959.00,106.26,15.434,16.085,4.00,False
LG_HGA,CB1_CORE_M_CF2_R02,M,CF2,2629,2697.60,2686.00,66.08,5.830,5.375,2.00,False
CSG-NI,CB1_CORE_M_CF2_R02,M,CF2,2549,2633.20,2632.00,79.96,3.303,3.256,1.00,True
GA,CB1_CORE_M_CF2_R03,M,CF2,3001,3111.80,3107.00,103.66,7.119,6.954,3.00,False
DCGA,CB1_CORE_M_CF2_R03,M,CF2,3441,3541.00,3561.00,57.19,21.893,22.582,5.00,False
DABC,CB1_CORE_M_CF2_R03,M,CF2,3219,3303.20,3313.00,74.67,13.707,14.045,4.00,False
LG_HGA,CB1_CORE_M_CF2_R03,M,CF2,2905,3026.40,3009.00,84.19,4.179,3.580,1.00,True
CSG-NI,CB1_CORE_M_CF2_R03,M,CF2,3008,3038.80,3036.00,36.40,4.606,4.509,2.00,False
GA,CB1_CORE_M_CF2_R04,M,CF2,2937,3052.40,3073.00,85.75,4.284,4.988,2.00,False
DCGA,CB1_CORE_M_CF2_R04,M,CF2,3526,3603.60,3610.00,45.67,23.116,23.334,5.00,False
DABC,CB1_CORE_M_CF2_R04,M,CF2,3253,3324.80,3318.00,48.55,13.591,13.358,4.00,False
LG_HGA,CB1_CORE_M_CF2_R04,M,CF2,2927,3104.00,3026.00,172.70,6.047,3.382,1.00,True
CSG-NI,CB1_CORE_M_CF2_R04,M,CF2,2988,3072.00,3074.00,61.19,4.954,5.022,3.00,False
GA,CB1_CORE_M_CF2_R05,M,CF2,3167,3336.00,3329.00,135.08,6.039,5.817,2.00,False
DCGA,CB1_CORE_M_CF2_R05,M,CF2,3560,3572.00,3573.00,9.00,13.541,13.573,5.00,False
DABC,CB1_CORE_M_CF2_R05,M,CF2,3386,3498.60,3516.00,98.82,11.208,11.761,4.00,False
LG_HGA,CB1_CORE_M_CF2_R05,M,CF2,3308,3387.40,3341.00,93.22,7.673,6.198,3.00,False
CSG-NI,CB1_CORE_M_CF2_R05,M,CF2,3146,3196.40,3190.00,57.10,1.602,1.399,1.00,True
GA,CB1_CORE_M_CF3_R01,M,CF3,2671,2857.20,2893.00,142.36,6.971,8.311,3.00,True
DCGA,CB1_CORE_M_CF3_R01,M,CF3,3375,3391.20,3381.00,17.75,26.964,26.582,5.00,False
DABC,CB1_CORE_M_CF3_R01,M,CF3,2842,3025.20,3039.00,170.57,13.261,13.778,4.00,False
