algorithm,instance_id,seed,scale,CF_level,cell_replicate,num_operations,budget_seconds,final_makespan,bks_v001_makespan,rpd_v001_percent,feasible,runtime_seconds,best_found_seconds,decoder_evaluations,iterations
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,CF2,C02,127,254.0,3834.0,3658.0,4.811372334609076,True,254.00612128799548,17.09333188398159,35310,882
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,CF3,C01,118,236.0,2799.0,2639.0,6.062902614626752,True,236.0115875019983,128.2650653049932,34788,869
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,CF3,C01,118,236.0,2647.0,2639.0,0.30314513073133764,True,236.00667902600253,124.38210470299236,35240,880
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,CF3,C01,118,236.0,2639.0,2639.0,0.0,True,236.00923936499748,63.82282470999053,34594,864
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,CF3,C02,116,232.0,2940.0,2922.0,0.6160164271047228,True,232.00439437001478,99.69776332500624,34940,873
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,CF3,C02,116,232.0,2922.0,2922.0,0.0,True,232.00888189100078,218.33296719001373,36110,902
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,CF3,C02,116,232.0,2989.0,2922.0,2.292950034223135,True,232.0102319259895,74.70547699398594,35448,886
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,S,CF1,C01,61,122.0,1714.0,1645.0,4.194528875379939,True,122.00269482698059,26.072265853988938,51482,1284
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,S,CF1,C01,61,122.0,1649.0,1645.0,0.24316109422492402,True,122.0046792489884,112.36019454299822,49924,1245
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,S,CF1,C01,61,122.0,1647.0,1645.0,0.12158054711246201,True,122.0033763149986,6.14862421300495,50428,1258
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,S,CF1,C02,56,112.0,1811.0,1783.0,1.5703869882220975,True,112.00084594701184,79.53818110201973,50454,1258
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,S,CF1,C02,56,112.0,1798.0,1783.0,0.8412787436904094,True,112.00293567299377,11.833588676003274,50584,1262
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,S,CF1,C02,56,112.0,1794.0,1783.0,0.6169377453729669,True,112.00129646397545,55.08950531997834,50286,1254
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12,746101,S,CF2,C01,60,120.0,1654.0,1588.0,4.156171284634761,True,120.00391041798866,10.49333439397742,49910,1247
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12,746102,S,CF2,C01,60,120.0,1611.0,1588.0,1.4483627204030227,True,120.00332568999147,119.75110326797585,49538,1238
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12,746103,S,CF2,C01,60,120.0,1607.0,1588.0,1.1964735516372795,True,120.0018580989854,52.97517748398241,49636,1240
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746101,S,CF2,C02,63,126.0,1976.0,1884.0,4.883227176220807,True,126.00187302101403,21.90678744399338,47672,1191
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746102,S,CF2,C02,63,126.0,1972.0,1884.0,4.670912951167728,True,126.00456602001213,64.9047428870108,48770,1219
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746103,S,CF2,C02,63,126.0,1951.0,1884.0,3.5562632696390657,True,126.0046657040075,120.75503150801524,48746,1218
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12,746101,S,CF3,C01,61,122.0,1742.0,1655.0,5.256797583081571,True,122.00529113298398,58.83132473099977,46966,1174
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12,746102,S,CF3,C01,61,122.0,1697.0,1655.0,2.5377643504531724,True,122.00160245099687,43.293021880002925,47920,1197
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12,746103,S,CF3,C01,61,122.0,1655.0,1655.0,0.0,True,122.00081453900202,120.93969741501496,48422,1210
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746101,S,CF3,C02,63,126.0,1864.0,1729.0,7.8079814921920185,True,126.00382083799923,107.53047135897214,48980,1224
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746102,S,CF3,C02,63,126.0,1825.0,1729.0,5.552342394447658,True,126.00509480800247,58.24460119500873,49450,1236
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746103,S,CF3,C02,63,126.0,1797.0,1729.0,3.932909196067091,True,126.00438850399223,59.479314820986474,49148,1228
