instance_id,seed,scale,iterations,decoder_evaluations,critic_calls,refresh_count,guided_iterations,guided_iterations_per_critic_call,runtime_preparation_seconds,refresh_seconds,refresh_budget_share,decoder_evaluations_per_second,new_best_events,new_best_events_per_1000_evaluations,h1_to_final_improvement,improvement_per_second,improvement_per_1000_evaluations,best_found_seconds,budget_overshoot_seconds,refresh_p50_ms,refresh_p90_ms,refresh_p99_ms,refresh_max_ms
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,4096,32763,205,205,4096,19.98048780487805,0.0006313279736787081,3.9004239192581736,0.015355999682118794,128.98500161327814,13,0.3967890608308152,279.0,1.0983980542106828,8.515703690138265,246.5412587329629,0.006276622996665537,18.247617001179606,19.52782259322703,20.267205259297047,81.96560700889677
CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,4226,33803,212,212,4226,19.933962264150942,0.0005169709911569953,3.9202621128060855,0.016611280139008838,143.2318077562255,3,0.08874951927343727,63.0,0.2669468357436383,1.8637399047421825,228.691281271982,0.0020482149557210505,17.50816751155071,18.678742629708722,19.008099064812995,84.56783602014184
CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,4219,33747,211,211,4219,19.99526066350711,0.0007138230139389634,4.0428218060988,0.0171306008733,142.99418141676395,2,0.059264527217234124,110.0,0.46609654060639566,3.259548996947877,214.51566282100976,0.0026097960071638227,17.4944750033319,18.818170006852597,79.60049576358871,88.8012059731409
CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,4240,33915,212,212,4240,20.0,0.002847458003088832,3.9312758854939602,0.01665794866734729,143.70586756330644,11,0.32434026242075775,156.0,0.6610088556649213,4.599734630694383,174.07380571000976,0.002889617986511439,17.49054348329082,18.705476354807615,19.37853538140189,85.7196890283376
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,4358,34864,218,218,4358,19.990825688073393,0.0005470500327646732,3.8622584037366323,0.016647665533347553,150.27084003434166,14,0.4015603487838458,250.0,1.0775501952898525,7.170720513997247,190.4070231950027,0.007753413985483348,17.336659017018974,18.50525750196539,19.088254440575835,19.429393985774368
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,4253,34019,213,213,4253,19.96713615023474,0.0008511240012012422,3.822529891389422,0.01647642194564406,146.63062989757483,11,0.3233487168935007,248.0,1.0689437142361198,7.29004379905347,209.81114695797442,0.004732051980681717,17.507896991446614,18.69581718929112,19.140354334376752,19.31503403466195
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,4244,33947,213,213,4244,19.92488262910798,0.0007356699788942933,3.819027880206704,0.016461327069856483,146.32051045928227,16,0.4713229445900963,303.0,1.3060097996630786,8.92567826317495,229.8526154839783,0.00438471301458776,17.522804031614214,18.702443572692573,19.365644610952586,21.228670957498252
CB1_CAUR_S_CF1_RI2_TI2_R12,746101,S,5731,45843,287,287,5731,19.968641114982578,0.00028427602956071496,3.4762867325916886,0.028494153545833515,375.7534194750175,21,0.45808520384791573,237.0,1.942577065540631,5.169818729140763,110.93726415099809,0.002881741034798324,11.822248983662575,12.594238622114062,12.955797105096277,15.49415197223425
CB1_CAUR_S_CF1_RI2_TI2_R12,746102,S,5678,45425,284,284,5678,19.992957746478872,0.00035621499409899116,3.4114046993781812,0.027962333601460502,372.1580461944391,16,0.3522289488167309,220.0,1.8024165143153903,4.843148046230049,65.24938126897905,0.0583579060039483,11.765531031414866,12.487866613082588,12.823303538607435,13.1656140438281
CB1_CAUR_S_CF1_RI2_TI2_R12,746103,S,5720,45756,286,286,5720,20.0,0.00035880401264876127,3.435800379142165,0.028162298189689877,375.0447681045085,18,0.3933910306845004,230.0,1.8852237228786815,5.026663169857505,87.33817193499999,0.001435271988157183,11.754644510801882,12.57613900816068,12.93061379983555,13.64333601668477
