algorithm,instance_id,seed,scale,CF_level,cell_replicate,budget_fraction,available,incumbent_makespan,normalized_incumbent_over_h1,rpd_v001_percent,decoder_evaluations
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,CF1,C02,0.25,True,2935.0,0.8902032150439794,5.88023088023088,7993
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,CF1,C02,0.5,True,2834.0,0.8595693054291781,2.236652236652237,15521
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,CF1,C02,0.75,True,2830.0,0.8583560812860176,2.092352092352092,26673
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,CF1,C02,1.0,True,2799.0,0.8489535941765242,0.974025974025974,32985
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,CF2,C01,0.1,True,3093.0,0.9831532104259377,11.179007907979871,9
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,CF2,C01,0.25,True,2980.0,0.94723458359822,7.1171818835370235,8481
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,CF2,C01,0.5,True,2965.0,0.9424666242848061,6.578001437814522,12881
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,CF2,C01,0.75,True,2965.0,0.9424666242848061,6.578001437814522,12881
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,CF2,C01,1.0,True,2965.0,0.9424666242848061,6.578001437814522,12881
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,CF2,C01,0.1,True,3036.0,0.965034965034965,9.130122214234364,9
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,CF2,C01,0.25,True,3036.0,0.965034965034965,9.130122214234364,9
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,CF2,C01,0.5,True,2909.0,0.924666242848061,4.565061107117182,18161
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,CF2,C01,0.75,True,2890.0,0.9186268277177368,3.882099209202013,18865
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,CF2,C01,1.0,True,2854.0,0.9071837253655436,2.5880661394680087,30921
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,CF2,C01,0.1,True,3119.0,0.9914176732358551,12.113587347232206,2625
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,CF2,C01,0.25,True,3030.0,0.9631277813095995,8.914450035945363,6969
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,CF2,C01,0.5,True,3019.0,0.959631277813096,8.519051042415528,14825
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,CF2,C01,0.75,True,2970.0,0.9440559440559441,6.7577282530553555,26889
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,CF2,C01,1.0,True,2970.0,0.9440559440559441,6.7577282530553555,26889
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,CF2,C02,0.1,True,3879.0,0.9788039364118092,6.041552761071624,2257
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,CF2,C02,0.25,True,3797.0,0.9581125410042897,3.799890650628759,7353
