slice_dimension,slice_value,k,states,exact_best_recall,near_best_recall_epsilon_0_0025,near_best_recall_epsilon_0_005,near_best_recall_epsilon_0_010,oracle_shortlist_selected_lift,oracle_shortlist_regret,positive_opportunity_states,fallback_beating_candidate_present,mean_topk_origin_family_diversity,phase6n_phase6l_mean_topk_overlap,overlap_states
scale,S,6,288,0.4166666666666667,0.4409722222222222,0.4826388888888889,0.6006944444444444,0.03392140558214793,0.01033200466550149,273,0.9560439560439561,3.4583333333333335,0.5381944444444444,96
scale,S,8,288,0.5138888888888888,0.5381944444444444,0.5763888888888888,0.7083333333333334,0.036797037380664116,0.0074563728669853075,273,0.978021978021978,3.9444444444444446,0.6145833333333334,96
scope,common_original_288,1,288,0.0798611111111111,0.09375,0.1111111111111111,0.1701388888888889,0.006411151730758742,0.034970776812805256,277,0.5956678700361011,1.0,0.2708333333333333,288
scope,common_original_288,2,288,0.1597222222222222,0.1840277777777778,0.22569444444444445,0.3055555555555556,0.017885009951720224,0.023496918591843774,277,0.7725631768953068,1.6909722222222223,0.3385416666666667,288
scope,common_original_288,3,288,0.2222222222222222,0.2569444444444444,0.2916666666666667,0.3993055555555556,0.022596903124704835,0.018785025418859163,277,0.8375451263537906,2.263888888888889,0.41898148148148145,288
scope,common_original_288,4,288,0.3020833333333333,0.3506944444444444,0.3888888888888889,0.4930555555555556,0.027242168517730817,0.014139760025833179,277,0.8808664259927798,2.71875,0.4574652777777778,288
scope,common_original_288,6,288,0.3784722222222222,0.4409722222222222,0.4756944444444444,0.5798611111111112,0.030873303027472283,0.010508625516091715,277,0.9386281588447654,3.3159722222222223,0.5266203703703703,288
scope,common_original_288,8,288,0.4409722222222222,0.5034722222222222,0.5381944444444444,0.6458333333333334,0.0325909676722254,0.008790960871338599,277,0.9638989169675091,3.8090277777777777,0.5993923611111112,288
scope,expanded_864,1,864,0.09722222222222222,0.11574074074074074,0.1388888888888889,0.1909722222222222,0.007120453383872787,0.034595092130264675,834,0.5935251798561151,1.0,0.2708333333333333,288
scope,expanded_864,2,864,0.1886574074074074,0.21296296296296297,0.2465277777777778,0.3194444444444444,0.019047519425835966,0.022668026088301495,834,0.7673860911270983,1.6331018518518519,0.3385416666666667,288
scope,expanded_864,3,864,0.26273148148148145,0.2951388888888889,0.3298611111111111,0.43171296296296297,0.024571413600255637,0.017144131913881824,834,0.8489208633093526,2.1574074074074074,0.41898148148148145,288
scope,expanded_864,4,864,0.31828703703703703,0.3599537037037037,0.40162037037037035,0.5115740740740741,0.02829352879373371,0.01342201672040375,834,0.894484412470024,2.607638888888889,0.4574652777777778,288
scope,expanded_864,6,864,0.4074074074074074,0.4583333333333333,0.5081018518518519,0.6203703703703703,0.03199782451068547,0.009717721003451994,834,0.9460431654676259,3.283564814814815,0.5266203703703703,288
