source,category,metric,value,observations
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:operator_f_bottleneck,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:operator_high_reconfiguration,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:operator_high_reconfiguration,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:operator_overloaded_island,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:operator_overloaded_island,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:operator_random,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:operator_random,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:operator_related,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:operator_related,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:operator_w_bottleneck,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:operator_w_bottleneck,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:related_replace_25,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:related_replace_25,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:related_replace_50,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:related_replace_50,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:related_variant_1,0.04085974178403756,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:related_variant_1,0.04038772213247173,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:related_variant_2,0.039686032863849766,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:related_variant_2,0.039506535467763254,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:related_variant_3,0.03851232394366197,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:related_variant_3,0.03862534880305478,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:related_variant_4,0.03616490610328638,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:related_variant_4,0.03583492436481128,6809
NEW_ALNS_EXPANSION,candidate_feature:primary_origin_rule,fraction:two_operation_swap,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:primary_origin_rule,fraction:two_operation_swap,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_origin_distribution,fraction:LOCAL_PERTURBATION,0.16901408450704225,13632
ORIGINAL_PHASE6J_CAUR,candidate_origin_distribution,fraction:LOCAL_PERTURBATION,0.16918783962402703,6809
