arm,instance_id,scale,CF_level,seed,time_limit_seconds,stored_makespan,replay_feasible,replay_makespan,replayed_action_count,violation_count,source_path,source_sha256,copied_raw_path,copied_raw_sha256
CSG-NI Full,CB1_CORE_M_CF1_R01,M,CF1,530103,228.0,2720.0,True,2720.0,114,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R01/seed_530103.json,5823f130e829a124d83457d0588e45ee7f8820a8952cf4f5c131ed9ea840061a,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530103.json,5823f130e829a124d83457d0588e45ee7f8820a8952cf4f5c131ed9ea840061a
CSG-NI Full,CB1_CORE_M_CF1_R01,M,CF1,530104,228.0,2606.0,True,2606.0,114,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R01/seed_530104.json,59f50b3db394b087749aaba66ec250bc25fa24ff65bb8a505564df244bcaba7f,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530104.json,59f50b3db394b087749aaba66ec250bc25fa24ff65bb8a505564df244bcaba7f
CSG-NI Full,CB1_CORE_M_CF1_R01,M,CF1,530105,228.0,2586.0,True,2586.0,114,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R01/seed_530105.json,d0e0b632d1fb59974db6a1278fc9a9bf5b04cd421d0a15bcad87d49e7aae3db2,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530105.json,d0e0b632d1fb59974db6a1278fc9a9bf5b04cd421d0a15bcad87d49e7aae3db2
CSG-NI Full,CB1_CORE_M_CF1_R02,M,CF1,530101,260.0,3438.0,True,3438.0,130,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R02/seed_530101.json,4172cee1be92c7b974b9a6acf9c7c2adf88e629c58092eac552e0280d01c6fa2,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530101.json,4172cee1be92c7b974b9a6acf9c7c2adf88e629c58092eac552e0280d01c6fa2
CSG-NI Full,CB1_CORE_M_CF1_R02,M,CF1,530102,260.0,3450.0,True,3450.0,130,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R02/seed_530102.json,7be45a2d8f217c53f182fa9fe90c6a89573738d3d790088e5b2a8be1dd01728c,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530102.json,7be45a2d8f217c53f182fa9fe90c6a89573738d3d790088e5b2a8be1dd01728c
CSG-NI Full,CB1_CORE_M_CF1_R02,M,CF1,530103,260.0,3255.0,True,3255.0,130,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R02/seed_530103.json,83a5292b7e1c51e782d04336a272984d040f968228648d8be9720088448ed4f9,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530103.json,83a5292b7e1c51e782d04336a272984d040f968228648d8be9720088448ed4f9
CSG-NI Full,CB1_CORE_M_CF1_R02,M,CF1,530104,260.0,3232.0,True,3232.0,130,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R02/seed_530104.json,7ebf285cfa5334ba5ebb2a85d21b08cac57cf2be1bc54343338e1f549bc96047,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530104.json,7ebf285cfa5334ba5ebb2a85d21b08cac57cf2be1bc54343338e1f549bc96047
CSG-NI Full,CB1_CORE_M_CF1_R02,M,CF1,530105,260.0,3341.0,True,3341.0,130,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF1_R02/seed_530105.json,37c5dcdf087b77465a616fefa56eec6e4ce6892c2754980944707a4e3f0d9a48,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530105.json,37c5dcdf087b77465a616fefa56eec6e4ce6892c2754980944707a4e3f0d9a48
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,530101,244.0,3107.0,True,3107.0,122,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF2_R01/seed_530101.json,b8792e94780b4685e227075dce23715f948ac48d682c1e7d6b427ea23b0b570e,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530101.json,b8792e94780b4685e227075dce23715f948ac48d682c1e7d6b427ea23b0b570e
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,530102,244.0,3155.0,True,3155.0,122,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF2_R01/seed_530102.json,af77cbfe11e4fc66cda18e23bdbfc78ef55ad440ee2e28ab90b93ce18bbaf609,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530102.json,af77cbfe11e4fc66cda18e23bdbfc78ef55ad440ee2e28ab90b93ce18bbaf609
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,530103,244.0,3123.0,True,3123.0,122,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF2_R01/seed_530103.json,217c6e3c9fd802ef4d162ac3f0a01baa098c39d39abf9f65f07be3029bc0b01b,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530103.json,217c6e3c9fd802ef4d162ac3f0a01baa098c39d39abf9f65f07be3029bc0b01b
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,530104,244.0,3137.0,True,3137.0,122,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF2_R01/seed_530104.json,7cfee5a980db6ddab4b54a47332b2456f13c24146442ce0bcab865179c0e3cea,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530104.json,7cfee5a980db6ddab4b54a47332b2456f13c24146442ce0bcab865179c0e3cea
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,530105,244.0,3044.0,True,3044.0,122,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF2_R01/seed_530105.json,f4a63c4ac303a3452dec9d368db6a216a1b8f743b7c39943cccf3527fca09b83,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530105.json,f4a63c4ac303a3452dec9d368db6a216a1b8f743b7c39943cccf3527fca09b83
CSG-NI Full,CB1_CORE_M_CF2_R02,M,CF2,530101,230.0,2761.0,True,2761.0,115,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF2_R02/seed_530101.json,effdbaeec17b9d36b9477b6074f63c44357bccb9ddbf227afd835d16d44dfe16,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R02/seed_530101.json,effdbaeec17b9d36b9477b6074f63c44357bccb9ddbf227afd835d16d44dfe16
CSG-NI Full,CB1_CORE_M_CF2_R02,M,CF2,530102,230.0,2632.0,True,2632.0,115,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_M_CF2_R02/seed_530102.json,0ee8f67c3b2377894a992e50258ead01ab6e8cc11399bcb36a6af0af198a4eda,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R02/seed_530102.json,0ee8f67c3b2377894a992e50258ead01ab6e8cc11399bcb36a6af0af198a4eda
