instance_id,scale,CF_level,state_id,target_set_id,origin_family,is_fallback,immediate_utility,ensemble_immediate_utility,continuation_advantage_mean,continuation_advantage_std,beats_fallback,continuation_positive,realized_immediate_negative,realized_immediate_below_old_floor,old_predicted_immediate_gate_blocked
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_a47addf6c1c87e842363,ORIGINAL_OPERATOR,False,0.01533135509396637,0.022367323,0.03152818991097923,0.007789317507418396,1.0,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_aec01eb89c5cfa239bdf,LOCAL_PERTURBATION,False,-0.010880316518298714,0.015793156,0.005316518298714145,0.007789317507418398,0.5,True,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_b6bec396808f26cdd743,RELATED_VARIANT,False,-0.026211671612265085,-0.026401555,-0.010014836795252226,0.007789317507418398,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_c371ef7a8100e1cf32ca,STRUCTURED_NEAR_NEIGHBOR,False,-0.044757665677546986,0.016032083,-0.022131552917903065,0.014218595450049455,0.0,False,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_ca198e5e081e7c5eb8a9,RELATED_VARIANT,False,-0.029179030662710187,0.02476888,-0.012982195845697328,0.007789317507418397,0.0,False,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_ee783c027ef0637a5813,STRUCTURED_NEAR_NEIGHBOR,False,-0.03214638971315529,0.015951728,-0.015949554896142436,0.007789317507418398,0.0,False,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_1e114b38946e2978ec0a,STRUCTURED_NEAR_NEIGHBOR,False,0.014580801944106925,-0.018919123,-0.0013365735115431353,0.006196840826245444,0.5,False,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_1fec8936ac91b5c742b9,ORIGINAL_OPERATOR,False,0.028432563791008506,-0.34605613,0.012515188335358444,0.006196840826245443,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_281b98ec8b062fa274a5,STRUCTURED_NEAR_NEIGHBOR,False,0.03377885783718104,0.00038978085,0.017861482381530985,0.006196840826245443,1.0,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_3756999cbeadb39686d7,ORIGINAL_OPERATOR,False,0.034264884568651274,-0.08226228,0.018347509113001217,0.006196840826245444,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_3a6f2f4d763795dee177,LOCAL_PERTURBATION,False,0.02648845686512758,0.0074606775,0.010571081409477521,0.006196840826245442,1.0,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_44e341138574d1c7e127,ORIGINAL_OPERATOR,False,-0.02648845686512758,-0.028570667,-0.018104495747266098,0.015674362089914944,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_5cb67c842348bf97b675,ORIGINAL_OPERATOR,False,0.03450789793438639,-0.05688359,0.018590522478736334,0.006196840826245444,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_5feca5be13fc4d45987b,LOCAL_PERTURBATION,False,0.008748481166464156,0.0024575961,0.00425273390036452,0.005224787363304982,0.5,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_635739b0d7fbfe05092b,LOCAL_PERTURBATION,False,0.02284325637910085,-0.014064754,0.0069258809234507895,0.006196840826245443,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_6e0727890692b115af3a,STRUCTURED_NEAR_NEIGHBOR,False,0.05151883353584447,-0.030694127,0.03560145808019441,0.006196840826245442,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_6e1af48650cdc6e99df6,RELATED_VARIANT,False,0.020656136087484813,-0.033004355,0.004738760631834751,0.006196840826245444,0.5,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_6fcca90d49dd37ac36ac,ORIGINAL_OPERATOR,False,-0.012879708383961118,0.031193681,-0.028189550425273387,0.005589307411907654,0.0,False,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_6fe3be83058415290bc9,ORIGINAL_OPERATOR,True,0.009720534629404616,-0.013068271,0.0,0.0,0.0,False,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_7170162d1a4308127b3b,RELATED_VARIANT,False,0.020656136087484813,0.01870206,0.011543134872417983,0.0006075334143377884,1.0,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_71cc1c07bec3fac29807,STRUCTURED_NEAR_NEIGHBOR,False,0.029647630619684083,0.02197743,0.013730255164034023,0.006196840826245443,1.0,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_808b4bcce2997c91fef2,LOCAL_PERTURBATION,False,0.0031591737545565005,-0.033043373,-0.01275820170109356,0.006196840826245444,0.0,False,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_83302647bd65c363d3fd,RELATED_VARIANT,False,-0.0009720534629404617,-0.03710702,-0.016403402187120292,0.0057108140947752135,0.0,False,True,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_885cafe2f46471d427ef,MATCHED_RANDOM,False,0.03766707168894289,0.009978998,0.021749696233292832,0.006196840826245443,1.0,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_9301f7d1a2bc7354732f,ORIGINAL_OPERATOR,False,0.013608748481166465,-0.050131064,0.0026731470230862697,0.0012150668286755773,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_a57134c1f87d535c4e6f,STRUCTURED_NEAR_NEIGHBOR,False,0.016281895504252734,-0.009526669,0.019684082624544352,0.013122721749696234,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_b7407f4fac38dc996b83,MATCHED_RANDOM,False,0.016281895504252734,-0.018868832,0.0003645200486026728,0.006196840826245444,0.5,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_ca2364e01e03d5ad6200,STRUCTURED_NEAR_NEIGHBOR,False,0.019441069258809233,-0.006131628,0.0035236938031591733,0.006196840826245443,0.5,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_d9c87ef0f90540016e1f,MATCHED_RANDOM,False,-0.031105710814094776,-0.019305337,-0.047023086269744836,0.006196840826245442,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_fa306c2b4a8b45defa77,RELATED_VARIANT,False,-0.011421628189550425,-0.01631339,-0.02454434993924666,0.003402187120291616,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_0fb265530583fa994e47,MATCHED_RANDOM,False,-0.00546448087431694,-0.032692324,-0.00037257824143070023,0.004595131644311972,0.5,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_3d367a2f8bdd7113cfcd,STRUCTURED_NEAR_NEIGHBOR,False,0.012170889220069548,-0.008924392,0.01167411823149528,0.0,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_3ee08ded5685f9c39269,ORIGINAL_OPERATOR,False,-0.0004967709885742673,-0.020727606,-0.0009935419771485345,0.0,0.0,False,True,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_413f575e90461b646f32,RELATED_VARIANT,False,0.004967709885742673,-0.011724491,0.004470938897168405,0.0,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_4523330621613c54692f,STRUCTURED_NEAR_NEIGHBOR,False,-0.001987083954297069,-0.025568983,-0.0024838549428713363,0.0,0.0,False,True,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_4e03ff70a4d4d163cf99,STRUCTURED_NEAR_NEIGHBOR,False,0.004967709885742673,0.016691225,0.004470938897168405,0.0,1.0,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_537b3f8f7877a5d34127,MATCHED_RANDOM,False,-0.032538499751614505,-0.014538341,-0.012419274714356682,0.0067064083457526085,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_5652335cff9f0410e935,STRUCTURED_NEAR_NEIGHBOR,False,-0.0007451564828614009,-0.009394326,-0.0012419274714356682,0.0,0.0,False,True,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_5c4a94dd39b382c67edc,RELATED_VARIANT,False,0.005712866368604074,-0.018219335,0.005216095380029807,0.0,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_65f06bd12eabe89960b5,RELATED_VARIANT,False,-0.0022354694485842027,-0.04353735,-0.00273224043715847,0.0,0.0,False,True,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_6a71c43df236bbd25e54,MATCHED_RANDOM,False,0.0004967709885742673,-0.0412373,0.0,0.0,0.0,False,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_7e6f2f1bb90b4ec6d29a,LOCAL_PERTURBATION,False,-0.006458022851465474,-0.017225124,-0.006954793840039742,0.0,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_80a02f09037357cb3960,ORIGINAL_OPERATOR,False,-0.016145057128663685,-0.06322772,-0.009190263288623945,0.007451564828614009,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_82e1cf2e1d1db81c9443,STRUCTURED_NEAR_NEIGHBOR,False,0.0009935419771485345,-0.011392568,0.0004967709885742673,0.0,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_875cf1dd52b2fecd4378,ORIGINAL_OPERATOR,False,-0.1343765524093393,-0.029895103,-0.025459513164431197,0.015772478887232984,0.0,False,True,True,True
