destroy_operator,repair_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
high_reconfiguration,greedy,9647,0.026829044449944797,473,0.04903078677309008,203,0.021042811236653882,11,0.0011402508551881414,-249.7398154866798,-236.0,63.06896551724138,0.018763822167992356,0.11810729120171946,7.997512179952317,16.246708821395252,0.14999999999999997,0.016097241882830536,0.09023255377423933,50.430136487716716,130.78047478115914,168.53497241252273,0.0,368.0,0.006356334743932982
high_reconfiguration,reconfiguration_aware,9853,0.027401946197295125,497,0.050441489901552825,193,0.019587942758550695,11,0.0011164112453059983,-271.35836800974323,-253.0,54.72020725388601,0.01597062496304547,0.12020483326174827,7.998071653303563,16.385567847356135,0.14999999999999997,0.015483012107911311,0.08898512374960686,50.25345897235663,132.5267746930599,171.8943138884904,0.0,228.0,0.003938163917436739
high_reconfiguration,regret2,9799,0.02725176806934892,535,0.05459740789876518,221,0.0225533217675273,15,0.0015307684457597714,-247.80885804673946,-233.0,58.3710407239819,0.016239761065084193,0.12000197343014708,7.9993876926216965,16.410450045923053,0.14999999999999997,0.01576082909481831,0.08998053813736882,50.353457428115654,133.89835680082368,172.36239066117372,0.0,438.0,0.007565420157181104
high_reconfiguration,regret3,9724,0.027043187336090308,502,0.0516248457424928,183,0.018819415878239407,5,0.0005141916906622789,-250.36713286713288,-234.0,63.46448087431694,0.018164807574875593,0.1201019394902344,7.999074454956808,16.407239819004523,0.14999999999999997,0.01586356215563335,0.0885115511639361,50.52378857022336,131.94288019422888,170.4271786618812,0.0,50.0,0.0008636324380343726
high_reconfiguration,transport_aware,11890,0.03306699891259911,1694,0.1424726661059714,1090,0.09167367535744322,154,0.01295206055508831,-168.75046257359125,-163.0,94.20825688073394,0.022381205730246448,0.1308170259691327,7.997392767031118,17.059714045416317,0.15,0.01543777550822935,0.08836449484627841,50.66561614914368,134.67250288445396,177.71440099636084,0.0,6648.0,0.11482856896105018
overloaded_island,greedy,9787,0.027218395152027543,361,0.03688566465719832,146,0.01491774803310514,10,0.0010217635639113108,-273.0701951568407,-246.0,61.18493150684932,0.01896785812114274,0.11580603707448524,7.999284765505262,16.164708286502503,0.14999999999999997,0.01706193737758463,0.035174163167291744,21.621157998126574,104.57158982358158,161.09771146113252,0.0,306.0,0.00528543052077036
overloaded_island,reconfiguration_aware,10047,0.027941475027324077,526,0.05235393649845725,228,0.022693341295909226,35,0.0034836269533193988,-260.28366676619885,-214.0,50.62280701754386,0.01726229478472739,0.1148979245560854,7.998706081417338,16.02050363292525,0.14999999999999997,0.01582286055013808,0.03568830532440787,21.22087866240552,105.58384791676752,161.4415100774837,0.0,827.0,0.014284480525088522
overloaded_island,regret2,9848,0.027388040815077883,397,0.040312753858651504,155,0.01573923639317628,4,0.00040617384240454913,-270.2822908204712,-243.0,65.70322580645161,0.019890886257916345,0.11561669729731881,7.998883021933388,16.10002030869212,0.14999999999999997,0.01655848621146661,0.03582347925397062,21.673606500039508,105.08195224365245,161.28846103318486,0.0,107.0,0.0018481734173935573
overloaded_island,regret3,9739,0.02708490348274203,370,0.03799158024437827,140,0.014375192524899888,13,0.0013348393058835609,-273.48793510627377,-246.0,60.385714285714286,0.02062374376597227,0.11584614083376138,7.999281240373755,16.14313584556936,0.14999999999999997,0.017210590363927643,0.036409901895303666,21.843600184346474,105.66314378554081,161.78236478878534,0.0,530.0,0.009154503843164349
overloaded_island,transport_aware,11960,0.03326167426364048,1690,0.14130434782608695,1008,0.08428093645484949,157,0.013127090301003345,-130.57901337792643,-132.0,65.78373015873017,0.016460353247063023,0.12959422763319586,7.998076923076923,16.994481605351172,0.14999999999999997,0.01590990232781641,0.03449575756104853,22.272044649955973,111.43459493194983,170.89964609058381,0.0,5151.0,0.08897141376630106
