search_stage,bottleneck_type,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
40-60%,F_LOGISTICS,overloaded_island,352,0.0009789389080937668,1,0.002840909090909091,1,0.002840909090909091,1,0.002840909090909091,-227.95738636363637,-205.5,31.0,0.010094431781178768,0.081562660411935,8.0,13.630681818181818,0.14999999999999997,0.031565656565656575,0.044088922631487296,12.717213079066527,85.08703699168409,149.87796540295196,0.0,17.0,0.0002936350289316867
40-60%,F_LOGISTICS,random,374,0.0010401225898496271,1,0.00267379679144385,1,0.00267379679144385,1,0.00267379679144385,-238.89304812834226,-210.0,6.0,0.0032397408207343412,0.08041662244651808,8.0,13.473262032085561,0.15,0.01060529227364927,0.10438218390804598,21.008702260946176,97.54759857704836,139.6661669944885,0.0,6.0,0.00010363589256412471
40-60%,F_LOGISTICS,related,354,0.0009845010609806633,2,0.005649717514124294,2,0.005649717514124294,2,0.005649717514124294,-197.01694915254237,-178.5,6.5,0.004023391790224965,0.0740490319265494,8.0,12.833333333333334,0.15,0.012072888932181744,0.10455197307184448,20.320131989090196,91.99481825118515,133.55372088555535,0.0,6.0,0.00010363589256412471
40-60%,F_LOGISTICS,w_bottleneck,343,0.000953909220102733,0,0.0,0,0.0,0,0.0,-246.68804664723032,-231.0,,,0.08128550520408423,8.0,13.56268221574344,0.15,0.013929381276320055,0.11600580297800565,22.64508966969382,131.9352188822984,123.05960856427954,0.0,0.0,0.0
40-60%,RECONFIGURATION,critical,2586,0.007191863682757048,10,0.0038669760247486465,8,0.0030935808197989174,5,0.0019334880123743233,-246.92188708430007,-238.0,19.375,0.0065597621425454115,0.14580090477146457,8.0,18.88399071925754,0.15,0.08786507639274736,0.3904268437971516,20.271200943657956,80.63731019518106,145.8027847026402,0.0,44.0,0.0007599965454702478
40-60%,RECONFIGURATION,f_bottleneck,2508,0.006974939720168089,1,0.00039872408293460925,1,0.00039872408293460925,1,0.00039872408293460925,-379.38197767145135,-362.5,9.0,0.005635566687539136,0.1424321537703369,8.0,18.7085326953748,0.15,0.01947774716524518,0.07221231772815791,25.25797466574296,136.11059889581452,204.5862831830073,0.0,9.0,0.00015545383884618707
40-60%,RECONFIGURATION,high_reconfiguration,2613,0.007266952746730149,5,0.0019135093761959434,5,0.0019135093761959434,2,0.0007654037504783774,-290.7933409873708,-283.0,59.2,0.013286458079480007,0.1436047817317239,8.0,18.657481821660927,0.14999999999999997,0.015051410855963922,0.06549774560271059,51.65739198207848,131.73567046213506,184.82481367763063,0.0,43.0,0.0007427238967095604
40-60%,RECONFIGURATION,overloaded_island,2648,0.007364290422250837,8,0.0030211480362537764,8,0.0030211480362537764,6,0.0022658610271903325,-278.2787009063444,-250.0,41.5,0.01135959153945523,0.1413031682224267,8.0,18.610649546827794,0.14999999999999997,0.02103775702759121,0.03299068553533028,24.73647382039088,101.30232533640553,166.32401411093505,0.0,171.0,0.0029536229380775544
40-60%,RECONFIGURATION,random,2699,0.007506125320866695,22,0.008151167098925528,16,0.005928121526491293,11,0.004075583549462764,-260.9007039644313,-245.0,33.5625,0.009337134392022406,0.14473299518747562,8.0,18.670618747684326,0.14999999999999997,0.014120953398014346,0.08512175855270862,23.652272151679888,125.58908815095855,183.25649542972934,0.0,257.0,0.004439070731496675
40-60%,RECONFIGURATION,related,2771,0.007706362824794965,33,0.011909058101768314,28,0.010104655359076146,18,0.006495849873691808,-218.76939732948395,-211.0,31.678571428571427,0.009250625147368532,0.146651677010464,8.0,19.009022013713462,0.14999999999999997,0.01360647252660115,0.08756847920419217,23.845484596233057,128.07742815228778,189.53664162095677,0.0,448.0,0.007738146644787979
