method,instance_id,instance_relative_path,scale,CF_level,RI_level,TI_level,seed,time_limit_seconds,final_best,time_to_best,evals_to_best,total_runtime,total_decoder_evals,initialization_seconds,iterations,feasible,model_load_seconds,policy_sha256
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF3_RI2_TI2_R08.json,S,CF3,RI2,TI2,671305.0,126.0,1750.0,94.71570290898671,33193,126.0004018030013,44333,0.045037459989544004,5542,True,,
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671301.0,354.0,4230.0,99.04107681300957,4889,354.0014843189856,17401,0.3143240410136059,2175,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671302.0,354.0,4288.0,64.04892003897112,3137,354.00451317901025,17786,0.2826485639670864,2224,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671303.0,354.0,4224.0,88.52097010205034,4489,354.0356193050393,17930,0.2740659730043262,2242,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671304.0,354.0,4225.0,259.6354985139915,13121,354.00475593301235,17929,0.27378714398946613,2241,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671305.0,354.0,4182.0,134.12866290297825,6841,354.0042071630014,18073,0.26604117499664426,2259,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671301.0,386.0,4855.0,128.61906060395995,5801,386.0627769539715,17610,0.48436034395126626,2202,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671302.0,386.0,4790.0,0.66564084100537,9,386.00716379500227,17498,0.4944376940256916,2188,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671303.0,386.0,4777.0,1.2299583260319196,33,386.01780581800267,17498,0.5030822730041109,2188,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671304.0,386.0,4858.0,0.498399596021045,1,386.0115819249768,17472,0.498399596021045,2184,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671305.0,386.0,4858.0,0.4801445149932988,1,386.01172211999074,17496,0.4801445149932988,2187,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF3_RI2_TI2_R08.json,L,CF3,RI2,TI2,671301.0,342.0,3801.0,0.9503918400150724,25,342.00245809700573,18028,0.5159117870498449,2254,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF3_RI2_TI2_R08.json,L,CF3,RI2,TI2,671302.0,342.0,3717.0,0.6874016940128058,9,342.00944089796394,17890,0.5432738260133192,2237,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF3_RI2_TI2_R08.json,L,CF3,RI2,TI2,671303.0,342.0,3761.0,0.664425641996786,9,342.02914980298374,18162,0.513492691970896,2271,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF3_RI2_TI2_R08.json,L,CF3,RI2,TI2,671304.0,342.0,3693.0,0.6628873539739288,9,342.0336280729971,18154,0.5187380369752645,2270,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF3_RI2_TI2_R08.json,L,CF3,RI2,TI2,671305.0,342.0,3876.0,0.5655096260015853,1,342.01578113698633,18090,0.5655096260015853,2262,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF1_RI2_TI2_R08.json,M,CF1,RI2,TI2,671301.0,254.0,3225.0,40.686931342002936,3241,254.00937377096852,20130,0.09693396196234971,2517,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
