method,instance_id,scale,CF_level,operation_count,run_count,draft_bks,best_makespan,mean_makespan,median_makespan,std_makespan,mean_rpd_percent,median_rpd_percent,median_objective_rank,attains_bks,feasibility_rate
CSG-NI Phase6H provisional,CB1_CORE_M_CF2_R05,M,CF2,115,5,3146.0,3146.0,3196.4,3190.0,57.09903676945873,1.6020343293070565,1.3986013986013985,1.0,True,1.0
GA,CB1_CORE_M_CF3_R01,M,CF3,111,5,2671.0,2671.0,2857.2,2893.0,142.3646725841773,6.971171845750655,8.311493822538376,3.0,True,1.0
Adapted DCGA,CB1_CORE_M_CF3_R01,M,CF3,111,5,2671.0,3375.0,3391.2,3381.0,17.75387281693772,26.963684013478098,26.581804567577688,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF3_R01,M,CF3,111,5,2671.0,2842.0,3025.2,3039.0,170.56582307132928,13.260950954698615,13.777611381505054,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF3_R01,M,CF3,111,5,2671.0,2683.0,2807.2,2793.0,132.01969550033056,5.099213777611381,4.567577686259828,1.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF3_R01,M,CF3,111,5,2671.0,2850.0,2880.4,2889.0,24.419254697881343,7.839760389367278,8.161737177087232,2.0,False,1.0
GA,CB1_CORE_M_CF3_R02,M,CF3,128,5,3199.0,3329.0,3570.2,3667.0,195.83590069239094,11.603626133166614,14.629571741169116,4.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF3_R02,M,CF3,128,5,3199.0,4022.0,4043.0,4030.0,30.651264247988205,26.383244763988746,25.976867771178494,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF3_R02,M,CF3,128,5,3199.0,3573.0,3707.2,3638.0,135.6657657627745,15.88621444201313,13.723038449515474,3.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF3_R02,M,CF3,128,5,3199.0,3199.0,3400.0,3371.0,168.60901518009052,6.283213504220069,5.376680212566427,2.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF3_R02,M,CF3,128,5,3199.0,3259.0,3301.6,3272.0,56.4738877712523,3.2072522663332292,2.28196311347296,1.0,False,1.0
GA,CB1_CORE_M_CF3_R03,M,CF3,116,5,2859.0,2859.0,3011.2,2998.0,122.66091472021559,5.323539699195523,4.861839804127317,2.0,True,1.0
Adapted DCGA,CB1_CORE_M_CF3_R03,M,CF3,116,5,2859.0,3414.0,3454.4,3448.0,30.220853727186466,20.825463448758306,20.601608954179785,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF3_R03,M,CF3,116,5,2859.0,3189.0,3271.6,3286.0,67.12898032891607,14.431619447359216,14.935292060160895,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF3_R03,M,CF3,116,5,2859.0,3065.0,3172.6,3146.0,126.91453817431635,10.968870234347674,10.038474991255685,3.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF3_R03,M,CF3,116,5,2859.0,2933.0,2955.4,2961.0,12.521980673998822,3.371808324589017,3.5676810073452256,1.0,False,1.0
GA,CB1_CORE_M_CF3_R04,M,CF3,119,5,3021.0,3045.0,3279.4,3116.0,325.5722654035506,8.553459119496855,3.1446540880503147,2.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF3_R04,M,CF3,119,5,3021.0,3582.0,3622.6,3636.0,32.97423236407483,19.91393578285336,20.357497517378352,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF3_R04,M,CF3,119,5,3021.0,3234.0,3390.0,3398.0,109.23140574029064,12.214498510427012,12.479311486262826,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF3_R04,M,CF3,119,5,3021.0,3053.0,3145.6,3150.0,85.86209873978157,4.124462098642833,4.270109235352532,3.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF3_R04,M,CF3,119,5,3021.0,3021.0,3059.4,3054.0,35.10413081105983,1.2711022840119166,1.0923535253227408,1.0,True,1.0
GA,CB1_CORE_M_CF3_R05,M,CF3,113,5,3005.0,3005.0,3214.2,3197.0,155.83228163637983,6.961730449251247,6.389351081530782,3.0,True,1.0
