,number_of_products,number_of_operations,number_of_islands,number_of_W_AGVs,number_of_F_AGVs,number_of_configurations,number_of_precedence_edges,F_route_mean,F_route_median,R_full_op,R_high_op,F_route_min,F_route_max,F_cap_mean,R_full_island,capability_heterogeneity,capability_selectivity_mean,capability_selectivity_median,capability_selectivity_std,capability_selectivity_min,capability_selectivity_max,processing_CV_mean,processing_CV_median,processing_CV_p90,processing_min_max_ratio_mean,mean_processing_time,precedence_edge_density,mean_predecessor_count,mean_successor_count,number_of_source_operations,number_of_sink_operations,mean_ready_set_size,max_ready_set_size,mean_reconfiguration_time,median_reconfiguration_time,maximum_reconfiguration_time,nonzero_reconfiguration_std,nonzero_reconfiguration_CV,RI,configuration_diversity_entropy,nonzero_offdiagonal_reconfiguration_ratio,W_transport_intensity,F_transport_intensity,operations_per_W_AGV,operations_per_F_AGV,islands_per_W_AGV,islands_per_F_AGV,configuration_entropy
R_high_op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F_route_min,-0.10214806461283,-0.09397451137904476,-0.10952539483120291,,,-0.11145267575750803,-0.09089519608174404,0.9649652095056374,0.9349168266921327,,,1.0,0.922542546114341,0.8949138889086494,,0.11150520298434831,0.8949138889086494,0.8218099109393737,0.24771296407370974,0.8887450317081222,0.7686508769593596,0.02963156616781052,0.11862315523395507,-0.29418838494467653,-0.5856322528825216,-0.12661610999010478,-0.06279427846337499,0.10122793337954991,0.10122793337954991,-0.10214806461283,-0.10214806461283,-0.13500816325968856,-0.08992782333594863,0.1223286782217036,0.1033519125934639,-0.002786134190153024,-0.03875877995408963,-0.16215069965199982,0.00024103084604187674,0.06636831520103917,,-5.719790281498281e-06,-0.0003413562788135351,-0.09397451137904471,-0.09397451137904471,-0.10952539483120295,-0.10952539483120295,0.06636831520103917
F_route_max,-0.09897882079828177,-0.08599134075991663,-0.10884847396563761,,,-0.11159457217201135,-0.08253015072446362,0.9818831213203575,0.9209224339465019,,,0.922542546114341,1.0,0.9843537129145438,,0.12486409055911156,0.9843537129145438,0.9300987328634779,0.46501252201168664,0.8643333850247155,0.9015779219488702,0.012435750485584585,0.07893455913128702,-0.33140770842944595,-0.6269853301021896,-0.12455255888651906,-0.1287041678485782,0.06370025587395306,0.06370025587395306,-0.09897882079828182,-0.09897882079828182,-0.1222086363357452,-0.08282839539698574,0.14637807972172878,0.1583800223305643,0.00448626934413667,-0.042587887104977816,-0.1798219113411032,0.0005296510605493895,0.12455490119372487,,-2.0861972769795954e-05,-0.000316471037073894,-0.08599134075991657,-0.08599134075991657,-0.10884847396563761,-0.10884847396563761,0.12455490119372487
F_cap_mean,-0.015611031530386201,-0.004614798582628056,-0.014163337974337017,,,-0.013626425459873609,-0.0044861191328543085,0.9681047673455015,0.9107924086438265,,,0.8949138889086494,0.9843537129145438,1.0,,0.08440697303206425,1.0,0.9518641340903508,0.5039659464233402,0.8493466752985558,0.9317768287598565,0.026339929467752432,0.07249553927810586,-0.3100216537276629,-0.6906653061122429,-0.11784441916204447,-0.16793365206892832,0.029167489744080562,0.029167489744080562,-0.015611031530386149,-0.015611031530386149,-0.04341340566673723,-0.0072104739628222,0.16275906278641958,0.17164841385199275,0.016258435163177126,-0.03562053448327642,-0.1455198232655726,0.0002447512719654545,0.1465195976912135,,-5.0960249714256367e-05,-0.00021449131818648514,-0.004614798582628047,-0.004614798582628047,-0.014163337974337107,-0.014163337974337107,0.1465195976912135
R_full_island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capability_heterogeneity,-0.42343350772910954,-0.4234290141008407,-0.45401216488594626,,,-0.4620004901753251,-0.4223944297071117,0.09062643660207573,0.11569612361626838,,,0.11150520298434831,0.12486409055911156,0.08440697303206425,,1.0,0.08440697303206421,-0.012543513932676855,-0.01653274663150375,0.2709843325835697,0.08471066972590717,0.12777499305247547,0.22435978149221592,0.043138439711856796,0.21509287658137816,0.14647183582980228,0.20907579872429755,-0.12328854599023807,-0.12328854599023807,-0.42343350772910954,-0.42343350772910954,-0.3958344097512195,-0.39718669138089086,-0.009170025720978546,0.013760396350082743,-0.03861304949992609,-0.05950406574070645,-0.3275028860163275,0.001840861844991612,-0.1916166444156755,,-0.0002226370993133131,0.0009772478444083443,-0.4234290141008407,-0.4234290141008407,-0.45401216488594626,-0.45401216488594626,-0.1916166444156755
capability_selectivity_mean,-0.015611031530386153,-0.004614798582628056,-0.014163337974337019,,,-0.013626425459873552,-0.004486119132854248,0.9681047673455015,0.9107924086438265,,,0.8949138889086494,0.9843537129145438,1.0,,0.08440697303206421,1.0,0.951864134090351,0.5039659464233404,0.8493466752985558,0.9317768287598565,0.026339929467752436,0.07249553927810586,-0.31002165372766294,-0.6906653061122431,-0.11784441916204444,-0.1679336520689283,0.029167489744080604,0.029167489744080604,-0.015611031530386149,-0.015611031530386149,-0.04341340566673719,-0.0072104739628221105,0.16275906278641963,0.17164841385199275,0.01625843516317713,-0.03562053448327639,-0.1455198232655725,0.0002447512719654462,0.14651959769121356,,-5.0960249714257966e-05,-0.0002144913181864834,-0.004614798582628024,-0.004614798582628024,-0.014163337974337067,-0.014163337974337067,0.14651959769121356
capability_selectivity_median,0.1062657150292213,0.10978923614386639,0.10427684314459891,,,0.10316167702460631,0.10812664544433052,0.9020132961445373,0.8239765965981483,,,0.8218099109393737,0.9300987328634779,0.9518641340903508,,-0.012543513932676855,0.951864134090351,1.0,0.4557494160685704,0.7230633751856269,0.8420207158423887,-3.796063914181064e-05,0.06580754512168642,-0.23842071855498964,-0.7292239866028222,-0.1432578506623442,-0.19440199714018183,0.028200641745439427,0.028200641745439427,0.10626571502922132,0.10626571502922132,0.07870730994583477,0.11460886410356001,0.16844392737930558,0.1808448840968226,0.034130065836582686,-0.02142247525411473,-0.06849890256664798,-0.0003269529434721299,0.14509142154381646,,4.176280637716962e-05,-0.0005221787692078157,0.10978923614386636,0.10978923614386636,0.10427684314459897,0.10427684314459897,0.14509142154381646
capability_selectivity_std,-0.05079163757014673,-0.02292871611476767,-0.04989953089283491,,,-0.049385408652330084,-0.016517214202397216,0.3895964962815248,0.31567791408663237,,,0.24771296407370974,0.46501252201168664,0.5039659464233402,,-0.01653274663150375,0.5039659464233404,0.4557494160685704,1.0,0.10489398861194978,0.7228821449891806,-0.07922559246231982,-0.19108502123805815,-0.23937662060372328,-0.29414751674156114,-0.11022688806024018,-0.2732133561994705,0.04385454067140706,0.04385454067140706,-0.050791637570146764,-0.050791637570146764,-0.06328198606750707,-0.05048366336763564,0.08162311546228307,0.06385929346951119,0.01965548983028128,-0.0015558016867241087,0.02589838388482988,0.00025971587140250727,0.20610496084699942,,-0.000478578736340191,5.121356418064843e-05,-0.022928716114767687,-0.022928716114767687,-0.049899530892834845,-0.049899530892834845,0.20610496084699942
capability_selectivity_min,-0.19350802325603994,-0.1854617965798415,-0.1946374726780963,,,-0.19414080539217982,-0.18908927738406425,0.8797797079111824,0.872645097461846,,,0.8887450317081222,0.8643333850247155,0.8493466752985558,,0.2709843325835697,0.8493466752985558,0.7230633751856269,0.10489398861194978,1.0,0.7188084162848315,0.06274144226085134,0.14276048725843996,-0.29558391943214773,-0.4812129541000521,-0.02341911417586847,-0.003460752694501648,-0.052355490801933614,-0.052355490801933614,-0.19350802325603994,-0.19350802325603994,-0.213386924115976,-0.17606395137281272,0.11771282537093848,0.1364871616058976,-0.018196642008168555,-0.06230548804975363,-0.3030549887923704,0.0011159411171008421,0.026421404219859845,,4.776330229736807e-06,0.00010103759550313594,-0.1854617965798415,-0.1854617965798415,-0.1946374726780963,-0.1946374726780963,0.026421404219859845
