algorithm,instance_id,seed,scale,auc_available_horizon,available_budget_fraction,mean_normalized_incumbent_over_available_horizon,first_incumbent_budget_fraction
NGAS_A1_6,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,0.9394765523223334,0.9982860614482029,0.9410895219346695,0.00171393855179716
NGAS_A1_6,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,0.9448345294902043,0.9982430253197284,0.9464975016355183,0.0017569746802716206
NGAS_A1_6,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,0.9982688167932712,0.9982688167932712,1.0,0.0017311832067288728
NGAS_A1_6,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,0.9795885825356502,0.9982866071647178,0.9812698833232143,0.0017133928352821223
NGAS_A1_6,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,0.9984183093016205,0.9984183093016205,1.0,0.001581690698379505
NGAS_A1_6,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,0.9537527335076037,0.9996588825832301,0.9540781861938746,0.0003411174167699197
NGAS_A1_6,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,M,0.9351292216394985,0.9996320331183757,0.9354734448858555,0.0003679668816243576
NGAS_A1_6,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,M,0.9082213496951689,0.9996332483771543,0.9085545635557969,0.0003667516228456965
NGAS_A1_6,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,M,0.8544369744592256,0.9996053964060305,0.8547742714587759,0.0003946035939694629
NGAS_A1_6,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,M,0.8558993906408539,0.9996361264274416,0.8562109431756108,0.0003638735725584193
NGAS_A1_6,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,0.8497590394485618,0.9996056057222716,0.8500943117806575,0.00039439427772831393
NGAS_A1_6,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,0.9319235430455094,0.9994910244672983,0.9323981108706798,0.0005089755327017123
NGAS_A1_6,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,0.9391339980961521,0.9994474271186875,0.9396532249861173,0.0005525728813124454
NGAS_A1_6,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,0.9220368239799569,0.9992778964262441,0.9227031111940658,0.0007221035737559566
NGAS_A1_6,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,0.9356270990433666,0.9993996122087935,0.9361891755946533,0.0006003877912065028
NGAS_A1_6,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,0.9326479630934807,0.9994397109764441,0.9331708084545606,0.0005602890235558885
NGAS_A1_6,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,0.9447185317037522,0.9994356610432293,0.9452519742167671,0.0005643389567707145
NGAS_A1_6,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,0.9929970677318533,0.9991715454278904,0.9938204027883991,0.0008284545721095529
NGAS_A1_6,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,0.962006833065264,0.9991740779196489,0.9628020325229317,0.000825922080351166
NGAS_A1_6,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,0.9653759140178064,0.9991449407838044,0.9662020740058924,0.0008550592161955754
NGAS_A1_6,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,0.9397904560643529,0.9992493965388537,0.9404963959143218,0.0007506034611463386
NGAS_A1_6,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,0.936284436750872,0.9992328095129402,0.937003296766495,0.0007671904870597966
