algorithm,instance_id,seed,threshold_rpd_percent,target_makespan,hit,first_passage_seconds,first_passage_budget_fraction
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,1.0,2665.39,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,2.0,2691.78,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,5.0,2770.9500000000003,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,10.0,2902.9,True,0.19061770199914463,0.0008077021271150196
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,0.0,2639.0,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,1.0,2665.39,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,2.0,2691.78,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,5.0,2770.9500000000003,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,10.0,2902.9,True,0.18988601202727295,0.0008046017458782752
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,0.0,2639.0,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,1.0,2665.39,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,2.0,2691.78,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,5.0,2770.9500000000003,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,10.0,2902.9,True,0.18890942097641528,0.0008004636482051495
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,0.0,2922.0,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,1.0,2951.22,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,2.0,2980.44,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,5.0,3068.1,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,10.0,3214.2000000000003,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,0.0,2922.0,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,1.0,2951.22,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,2.0,2980.44,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,5.0,3068.1,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,10.0,3214.2000000000003,True,0.22183024801779538,0.0009561648621456698
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,0.0,2922.0,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,1.0,2951.22,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,2.0,2980.44,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,5.0,3068.1,False,,
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,10.0,3214.2000000000003,True,36.41603154101176,0.1569656531940162
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,0.0,1645.0,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,1.0,1661.45,True,74.47010856200359,0.6104107259180622
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,2.0,1677.9,True,43.89259682298871,0.3597753837949894
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,5.0,1727.25,True,30.15700926500722,0.24718860053284605
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,10.0,1809.5000000000002,True,20.104854390985565,0.16479388845070136
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,0.0,1645.0,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,1.0,1661.45,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,2.0,1677.9,True,82.24787267198553,0.6741628907539797
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,5.0,1727.25,True,54.5672725479817,0.4472727258031287
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,10.0,1809.5000000000002,True,5.31818715800182,0.04359169801640836
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,0.0,1645.0,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,1.0,1661.45,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,2.0,1677.9,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,5.0,1727.25,True,112.0659377160191,0.9185732599673697
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,10.0,1809.5000000000002,True,23.93267727701459,0.1961694858771688
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,0.0,1783.0,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,1.0,1800.83,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,2.0,1818.66,True,38.963654963008594,0.3478897764554339
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,5.0,1872.15,True,21.909915800002636,0.19562424821430927
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,10.0,1961.3000000000002,True,0.018439026025589556,0.0001646341609427639
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,0.0,1783.0,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,1.0,1800.83,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,2.0,1818.66,False,,
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,5.0,1872.15,True,20.065200209995965,0.1791535733035354
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,10.0,1961.3000000000002,True,0.01856768800644204,0.00016578292862894678
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,0.0,1783.0,True,90.52058351700543,0.8082194956875485
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,1.0,1800.83,True,82.36537763298838,0.7354051574373963
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,2.0,1818.66,True,58.00917802800541,0.5179390895357626
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,5.0,1872.15,True,20.58841899599065,0.18382516960705939
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,10.0,1961.3000000000002,True,0.0185194379882887,0.00016535212489543483
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,746101,0.0,1588.0,True,113.40849238401279,0.9450707698667732
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,746101,1.0,1603.88,True,86.7940766030224,0.7232839716918533
