dimension,group,trial,actions,instances,mean_raw_marginal_best_reduction,probability_best_changes_after_k,mean_raw_quality_loss_vs_eight,mean_positive_gain_at_k,mean_positive_gain_loss_vs_eight,no_new_best_probability,mean_signed_trial_variance
repair,reconfiguration_aware,8,2555,24,7.074755381604697,0.0,0.0,0.01604696673189824,0.0,0.8814090019569472,21198.25837818004
repair,regret2,1,2555,24,0.0,0.8771037181996086,195.61135029354207,0.0,0.04657534246575343,0.0,24046.12333047945
repair,regret2,2,2555,24,91.56634050880626,0.7428571428571429,104.04500978473581,0.0,0.04657534246575343,0.4731898238747554,24046.12333047945
repair,regret2,3,2555,24,37.25244618395303,0.6203522504892368,66.79256360078278,0.0,0.04657534246575343,0.6649706457925636,24046.12333047945
repair,regret2,4,2555,24,21.039530332681018,0.4962818003913894,45.75303326810176,0.0,0.04657534246575343,0.7542074363992172,24046.12333047945
repair,regret2,5,2555,24,17.610176125244617,0.361252446183953,28.142857142857142,0.0015655577299412916,0.04500978473581213,0.787866927592955,24046.12333047945
repair,regret2,6,2555,24,11.478277886497064,0.24070450097847357,16.664579256360078,0.0015655577299412916,0.04500978473581213,0.8407045009784736,24046.12333047945
repair,regret2,7,2555,24,9.288062622309198,0.112720156555773,7.376516634050881,0.0015655577299412916,0.04500978473581213,0.8524461839530333,24046.12333047945
repair,regret2,8,2555,24,7.376516634050881,0.0,0.0,0.04657534246575343,0.0,0.8872798434442271,24046.12333047945
repair,regret3,1,2555,24,0.0,0.8684931506849315,200.99804305283757,0.003913894324853229,0.03444227005870842,0.0,24497.347272504892
repair,regret3,2,2555,24,95.52563600782779,0.7342465753424657,105.47240704500979,0.003913894324853229,0.03444227005870842,0.4771037181996086,24497.347272504892
repair,regret3,3,2555,24,38.94011741682974,0.598825831702544,66.53228962818004,0.003913894324853229,0.03444227005870842,0.6477495107632094,24497.347272504892
repair,regret3,4,2555,24,19.90215264187867,0.48297455968688846,46.63013698630137,0.012524461839530333,0.02583170254403131,0.7628180039138943,24497.347272504892
repair,regret3,5,2555,24,16.24109589041096,0.3589041095890411,30.389041095890413,0.014090019569471625,0.02426614481409002,0.8035225048923679,24497.347272504892
repair,regret3,6,2555,24,11.838747553816047,0.23992172211350293,18.550293542074364,0.018003913894324854,0.020352250489236792,0.8516634050880626,24497.347272504892
repair,regret3,7,2555,24,10.929158512720157,0.10606653620352251,7.621135029354208,0.0187866927592955,0.019569471624266144,0.8489236790606653,24497.347272504892
repair,regret3,8,2555,24,7.621135029354208,0.0,0.0,0.038356164383561646,0.0,0.8939334637964775,24497.347272504892
