state_key,instance_id,dataset_origin,scale,search_stage,left,right,informative,spearman,same_top1,top5_overlap,top10_overlap
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,80-100%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,80-100%,U0_IMMEDIATE,U2_COST_NORMALIZED,False,,True,5,10
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,80-100%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,80-100%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,False,,True,5,10
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,80-100%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,80-100%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,80-100%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,False,,True,,
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,U0_IMMEDIATE,U2_COST_NORMALIZED,False,,True,5,10
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,False,,True,5,10
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,False,,True,,
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,0-20%,U0_IMMEDIATE,U1_SHORT_HORIZON,True,1.0,True,5,10
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,0-20%,U0_IMMEDIATE,U2_COST_NORMALIZED,True,1.0,True,5,10
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,0-20%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,True,0.15362070678131828,False,1,2
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,0-20%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,True,1.0,True,5,10
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,0-20%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,True,0.15362070678131828,False,1,2
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,0-20%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,True,0.15362070678131828,False,1,2
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,0-20%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,True,,True,,
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,0-20%,U0_IMMEDIATE,U1_SHORT_HORIZON,True,0.754888268607299,False,3,6
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,0-20%,U0_IMMEDIATE,U2_COST_NORMALIZED,True,0.7555107171221769,False,3,6
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,0-20%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,True,0.23343642123473027,False,1,5
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,0-20%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,True,0.9999920209158392,True,5,10
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,0-20%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,True,0.2796056121521478,False,0,3
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,0-20%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,True,0.279594859935197,False,0,3
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,0-20%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,True,,True,,
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,40-60%,U0_IMMEDIATE,U2_COST_NORMALIZED,False,,True,5,10
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,40-60%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,1
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,False,,True,5,10
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,40-60%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,1
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,40-60%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,1
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,False,,True,,
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,80-100%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,False,4,9
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,80-100%,U0_IMMEDIATE,U2_COST_NORMALIZED,False,,False,4,9
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,80-100%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,80-100%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,True,0.9999999999999998,True,5,10
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,80-100%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,True,0.07831402444014683,False,0,0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,80-100%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,True,0.07831402444014683,False,0,0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,80-100%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,True,,True,,
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,40-60%,U0_IMMEDIATE,U2_COST_NORMALIZED,False,,True,5,10
