state_key,instance_id,dataset_origin,dataset_role,scale,CF_level,search_stage,search_conditions,actions,utility,informative,positive_best_available,spearman,top1_realized_rank,top1_normalized_rank,top1_regret,best_utility,top1_utility,hit_at_1,hit_at_5,hit_at_10
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,80-100%,plateau_or_stagnating,355,U3_STOCHASTIC_ROBUSTNESS,True,False,0.8175690573059332,4,0.00847457627118644,44.125,-168.75,-212.875,False,False,False
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,40-60%,plateau_or_stagnating,360,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,40-60%,plateau_or_stagnating,360,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,40-60%,plateau_or_stagnating,360,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,40-60%,plateau_or_stagnating,360,U3_STOCHASTIC_ROBUSTNESS,True,False,0.3524125014967478,317,0.8802228412256268,694.5,-116.0,-810.5,False,False,False
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,TRAIN,M,CF3,40-60%,plateau_or_stagnating|low_action_entropy,345,U0_IMMEDIATE,True,True,0.03389464359947705,4,0.00872093023255814,20.0,20.0,0.0,False,False,False
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,TRAIN,M,CF3,40-60%,plateau_or_stagnating|low_action_entropy,345,U1_SHORT_HORIZON,True,True,0.022617041500134005,5,0.011627906976744186,20.0,20.0,0.0,False,False,False
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,TRAIN,M,CF3,40-60%,plateau_or_stagnating|low_action_entropy,345,U2_COST_NORMALIZED,True,True,0.022657182515902888,5,0.011627906976744186,120.73221436803878,120.73221436803878,0.0,False,False,False
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R01:seed817000045:iteration2040,CB1_TRAIN_M_CF3_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,TRAIN,M,CF3,40-60%,plateau_or_stagnating|low_action_entropy,345,U3_STOCHASTIC_ROBUSTNESS,True,False,0.0066053251726553176,124,0.35755813953488375,172.5,-94.75,-267.25,False,False,False
R12|CB1_CAUR_S_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF3,80-100%,plateau_or_stagnating,350,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_S_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF3,80-100%,plateau_or_stagnating,350,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_S_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF3,80-100%,plateau_or_stagnating,350,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_S_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF3,80-100%,plateau_or_stagnating,350,U3_STOCHASTIC_ROBUSTNESS,True,False,0.38712269525251625,6,0.014326647564469915,18.125,-135.375,-153.5,False,False,False
CLEAN|CB1_TRAIN_L_CF3_RI1_TI1_R02:seed817000018:iteration1600,CB1_TRAIN_L_CF3_RI1_TI1_R02,CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF3,40-60%,plateau_or_stagnating|low_action_entropy,350,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_L_CF3_RI1_TI1_R02:seed817000018:iteration1600,CB1_TRAIN_L_CF3_RI1_TI1_R02,CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF3,40-60%,plateau_or_stagnating|low_action_entropy,350,U1_SHORT_HORIZON,True,True,-0.0908606338611526,2,0.0028653295128939827,5.0,5.0,0.0,False,False,False
CLEAN|CB1_TRAIN_L_CF3_RI1_TI1_R02:seed817000018:iteration1600,CB1_TRAIN_L_CF3_RI1_TI1_R02,CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF3,40-60%,plateau_or_stagnating|low_action_entropy,350,U2_COST_NORMALIZED,True,True,-0.0908606338611526,2,0.0028653295128939827,15.622822273730621,15.622822273730621,0.0,False,False,False
CLEAN|CB1_TRAIN_L_CF3_RI1_TI1_R02:seed817000018:iteration1600,CB1_TRAIN_L_CF3_RI1_TI1_R02,CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF3,40-60%,plateau_or_stagnating|low_action_entropy,350,U3_STOCHASTIC_ROBUSTNESS,True,False,0.09567340447710877,230,0.6561604584527221,259.25,-183.875,-443.125,False,False,False
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R04:seed817000096:iteration2120,CB1_TRAIN_M_CF3_RI1_TI1_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF3,40-60%,plateau_or_stagnating|low_action_entropy,360,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R04:seed817000096:iteration2120,CB1_TRAIN_M_CF3_RI1_TI1_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF3,40-60%,plateau_or_stagnating|low_action_entropy,360,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R04:seed817000096:iteration2120,CB1_TRAIN_M_CF3_RI1_TI1_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF3,40-60%,plateau_or_stagnating|low_action_entropy,360,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_M_CF3_RI1_TI1_R04:seed817000096:iteration2120,CB1_TRAIN_M_CF3_RI1_TI1_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF3,40-60%,plateau_or_stagnating|low_action_entropy,360,U3_STOCHASTIC_ROBUSTNESS,True,False,-0.07817608008095907,273,0.7576601671309192,325.75,-97.625,-423.375,False,False,False
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,0-20%,plateau_or_stagnating,360,U0_IMMEDIATE,True,True,0.07338338833636047,3,0.005571030640668524,26.0,26.0,0.0,False,False,False
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,0-20%,plateau_or_stagnating,360,U1_SHORT_HORIZON,True,True,0.12180798374859059,6,0.013927576601671309,26.0,26.0,0.0,False,False,False
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,0-20%,plateau_or_stagnating,360,U2_COST_NORMALIZED,True,True,0.12181305908124679,6,0.013927576601671309,177.78493190796007,177.78493190796007,0.0,False,False,False
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,0-20%,plateau_or_stagnating,360,U3_STOCHASTIC_ROBUSTNESS,True,False,0.3618046398028632,24,0.06406685236768803,145.375,-58.125,-203.5,False,False,False
