dimension,group,offset,states,instances,informative_states,positive_best_states,informative_state_rate,mean_stale_U0_spearman_informative,mean_stale_top1_regret_positive_best,mean_semantic_bank_jaccard,top1_same_semantics_rate,mean_top5_overlap_fraction,mean_common_rank_spearman,mean_common_percentile_rank_absolute_drift,mean_operation_feature_relative_l2,mean_graph_edge_jaccard,critical_signature_change_rate,dominant_bottleneck_change_rate,mean_stale_top1_U0,mean_fresh_top1_U0,mean_archived_selected_U0,mean_stale_top1_regret_union,mean_fresh_top1_regret_union
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,15,18,18,5,5,0.2777777777777778,0.049685897889257306,23.4,0.12366523668842139,0.05555555555555555,0.07777777777777778,0.9879940545699386,0.0320407855674462,0.04223737120628357,0.9675267457306257,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,6.5,6.5
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,19,18,18,4,4,0.2222222222222222,0.06305488923154944,20.25,0.12600721573529933,0.05555555555555555,0.07777777777777778,0.9926878178413274,0.031189102346685108,0.04223737120628357,0.9675267457306257,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,4.5,4.5
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,0,6,6,5,5,0.8333333333333334,0.10645340939302124,53.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.333333333333334,44.833333333333336,44.833333333333336
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,5,6,6,5,5,0.8333333333333334,0.13285391036660715,47.8,0.12238221489618312,0.16666666666666666,0.13333333333333333,0.9790573130514217,0.048498999778231994,0.08146339158217113,0.9235968992248061,0.16666666666666666,0.16666666666666666,2.6666666666666665,0.0,0.0,39.833333333333336,42.5
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,10,6,6,5,5,0.8333333333333334,0.10799134632039671,38.0,0.12588943785427023,0.0,0.10000000000000002,0.9984680860351167,0.028732470152587203,0.08322182297706604,0.9031299977153302,0.16666666666666666,0.16666666666666666,5.5,0.0,0.0,31.666666666666668,37.166666666666664
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,15,6,6,3,3,0.5,0.09455302325766422,24.333333333333332,0.11026714624961746,0.0,0.16666666666666666,0.9768735019740061,0.03740330026915247,0.1452034761508306,0.7976368641323089,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,12.166666666666666,12.166666666666666
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,19,6,6,4,4,0.6666666666666666,0.12096195418256729,33.75,0.09982790340271401,0.0,0.10000000000000002,0.9764306176517185,0.035117850664259945,0.1452034761508306,0.7976368641323089,0.3333333333333333,0.16666666666666666,0.0,1.6666666666666667,0.0,23.0,21.333333333333332
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,0,6,6,0,0,0.0,,,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,5,6,6,0,0,0.0,,,0.13883250134400654,0.3333333333333333,0.13333333333333333,0.9984675428981383,0.020755420292603462,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,10,6,6,1,1,0.16666666666666666,0.035296153386904255,18.0,0.13285792254443154,0.16666666666666666,0.10000000000000002,0.9987765261478351,0.032940418274852674,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,15,6,6,1,1,0.16666666666666666,0.06881480264641046,7.0,0.14304372509303173,0.16666666666666666,0.13333333333333333,0.9944953654328738,0.036118974896099075,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.1666666666666667
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,19,6,6,1,1,0.16666666666666666,0.04646903647340632,22.0,0.1357217051212823,0.16666666666666666,0.13333333333333333,0.9942097764370664,0.026620492162637916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,3.6666666666666665
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,0,6,6,0,0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,5,6,6,1,1,0.16666666666666666,0.04252812290821405,4.0,0.13641987729503915,0.16666666666666666,0.13333333333333333,0.9971382644787093,0.03379781743260166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,10,6,6,1,1,0.16666666666666666,0.04927038629610163,5.0,0.14386820167454797,0.16666666666666666,0.16666666666666666,0.9983548521383586,0.025403339331147395,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,15,6,6,0,0,0.0,,,0.13871330175993776,0.16666666666666666,0.10000000000000002,0.9972357902018397,0.03452554842942162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,19,6,6,0,0,0.0,,,0.14251912966802013,0.16666666666666666,0.10000000000000002,0.9961902018773895,0.03526467506361277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
