arm,instance_id,scale,CF_level,seed,operation_count,best_makespan,runtime_seconds,time_limit_seconds,best_found_time_seconds,decoder_evaluations,iterations,feasible,replay_feasible,result_path,result_sha256,pooled_best_makespan,rpd_percent
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530103,183,4428.0,366.04234555602307,366.0,0.8253578909789212,15930,1992,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530103.json,5230fcef0fb855210ea696411652283ade7b5235684a1212fe2eee8e0ff0da62,4225.0,4.804733727810651
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530104,183,4328.0,366.0642412030138,366.0,212.38879132299917,15882,1986,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530104.json,32e95b461e59d50cc0660b3d4088af00c57e3c43436f29db8373282014a58bed,4225.0,2.437869822485207
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530105,183,4392.0,366.01433344196994,366.0,65.51442274096189,15809,1976,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530105.json,ffc1749558bd8b0ab1922b6e5a082310cfd453b42ee3e83003e91718a2d55792,4225.0,3.9526627218934913
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530101,183,4425.0,366.0295852190011,366.0,177.94209951500125,16130,2017,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R02/seed_530101.json,46c02df88789449b1fe7e1525e40884db6d3bebf0c662c8b874d59a4ffac0e56,4225.0,4.733727810650888
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530102,183,4530.0,366.0072323859986,366.0,15.262760662999426,16321,2040,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R02/seed_530102.json,08448a13aaa7067499ff9111d93e230551c78595fc9acca9a0196a832d641c06,4225.0,7.218934911242603
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530103,183,4490.0,366.01668771000004,366.0,276.732889117,16290,2037,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R02/seed_530103.json,1c04f65510a9810400d57df60baaeea7e5e5d51af6791ed75fd99550ee62d6b0,4225.0,6.272189349112426
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530104,183,4225.0,366.0141708760002,366.0,190.2593398400004,16443,2056,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R02/seed_530104.json,ca5f9ccfd6020fcd6606abf8ae005f1794519e586b229f48f56bb324b068d009,4225.0,0.0
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530105,183,4318.0,366.007388643,366.0,1.0163992309990135,16626,2079,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R02/seed_530105.json,688554c885a793a592cb61e64900152e8f6f294f4ef529d303016005315710e5,4225.0,2.201183431952663
No NI (ALNS-H1),CB1_CORE_L_CF2_R02,L,CF2,530101,183,4463.0,366.03438611800084,366.0,3.460640425008023,7980,998,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R02/seed_530101.json,00e2d02b2c6724b82e0c3fcf2715d5a9bee9fb0f6a27030d81bad91ba7fe1529,4225.0,5.633136094674557
No NI (ALNS-H1),CB1_CORE_L_CF2_R02,L,CF2,530102,183,4687.0,366.0318155060231,366.0,302.28245174800395,8667,1084,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R02/seed_530102.json,9b8998b46d7e8f1ac72405696486e9b8e1a70acf9c9226c162d9b6b88ecce935,4225.0,10.934911242603551
No NI (ALNS-H1),CB1_CORE_L_CF2_R02,L,CF2,530103,183,4498.0,366.02821810301975,366.0,3.638947747007478,8475,1060,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R02/seed_530103.json,014b5739e041d7df35bdb50cc8de8c32ca25e17fa9f0c8218fbd96a989ea6b52,4225.0,6.461538461538462
No NI (ALNS-H1),CB1_CORE_L_CF2_R02,L,CF2,530104,183,4429.0,366.0404770199966,366.0,361.8378526419983,8065,1008,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R02/seed_530104.json,07265f8f6d32c80560925a3fec2708d32dc35d8cf8c8fa78797364b093890cb7,4225.0,4.828402366863905
No NI (ALNS-H1),CB1_CORE_L_CF2_R02,L,CF2,530105,183,4529.0,366.0017441849923,366.0,94.7498344630003,8314,1040,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF2_R02/seed_530105.json,fcbabda3b8f16ec17a13ed0a98dc0d0894bb4cfd7739a7944e73b7c7b20bbaea,4225.0,7.195266272189349
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530101,193,4817.0,386.0271751830005,386.0,80.18080488400301,15442,1931,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530101.json,6351a2024b1c2a22350edafffe81bf1d36c502aec282c8a241b5b67592eae3d2,4612.0,4.444926279271466
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530102,193,4713.0,386.0652723569656,386.0,340.5644012650009,15459,1933,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530102.json,5d80589dcf917faf7c54ce4b725a2812f31ebf7212abb33049caeebd778b6bcc,4612.0,2.1899392888117952
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530103,193,4612.0,386.00789836997865,386.0,1.6763699479633942,15523,1941,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530103.json,b189482397f082e67b899fd37a5a31c9474fe706d4e910a1c2d093150ff1e618,4612.0,0.0
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530104,193,4910.0,386.0800328570185,386.0,49.43246723001357,15554,1945,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530104.json,ead1173690ddb3c4994b1f45259b3daed105abd98cc31efe26b884446bc13339,4612.0,6.461405030355594
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530105,193,4704.0,386.0725845019915,386.0,139.8992092750268,15482,1936,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530105.json,8d6caa6e77d75feac457515df44d1e2cbff4adb87e3821a535d6b00b0ab3f4e6,4612.0,1.99479618386817
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,530101,193,4769.0,386.10822536700107,386.0,99.71463355100059,16090,2012,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF3_R01/seed_530101.json,568ab7ae924a8ab06c6dea4aeded8ae1bde9f80115451c8c3c88c550bd8e487c,4612.0,3.404163052905464
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,530102,193,4794.0,386.01062558599915,386.0,331.7704225460002,16130,2017,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF3_R01/seed_530102.json,497c06a737375ad16ccc2ffd4fddc529a17f6cc793be28c096f841e155eaaa02,4612.0,3.9462272333044233
