arm,instance_id,scale,CF_level,seed,eligible_decisions,interventions,intervention_coverage,median_unique_bank_size,median_duplicate_rule_count,median_ni_overhead_ms_per_eligible_decision,cumulative_ni_overhead_fraction,median_uniform_rebuild_ms
CSG-NI Full,CB1_CORE_S_CF2_R02,S,CF2,530102,2008,1,0.00049800796812749,23.0,1.0,37.646205484634265,0.6235592662358057,0.0
CSG-NI Full,CB1_CORE_S_CF2_R02,S,CF2,530103,2004,3,0.0014970059880239522,23.0,1.0,37.62461050064303,0.6213145011055641,0.0
CSG-NI Full,CB1_CORE_S_CF2_R02,S,CF2,530104,1999,1,0.0005002501250625312,23.0,1.0,37.641555012669414,0.6214530905749269,0.0
CSG-NI Full,CB1_CORE_S_CF2_R02,S,CF2,530105,2027,0,0.0,23.0,1.0,36.69969498878345,0.6198573087513681,0.0
CSG-NI Full,CB1_CORE_S_CF3_R01,S,CF3,530101,2052,27,0.013157894736842105,23.0,1.0,35.672916972544044,0.605758863462655,0.0
CSG-NI Full,CB1_CORE_S_CF3_R01,S,CF3,530102,2050,28,0.013658536585365854,23.0,1.0,36.9098974915687,0.6233491848224465,0.0
CSG-NI Full,CB1_CORE_S_CF3_R01,S,CF3,530103,2006,6,0.0029910269192422734,23.0,1.0,38.68285249336623,0.6234254433895592,0.0
CSG-NI Full,CB1_CORE_S_CF3_R01,S,CF3,530104,2007,11,0.005480817140009965,23.0,1.0,38.60541502945125,0.6266567762007288,0.0
CSG-NI Full,CB1_CORE_S_CF3_R01,S,CF3,530105,2028,6,0.0029585798816568047,23.0,1.0,37.731411517597735,0.6195862934319524,0.0
CSG-NI Full,CB1_CORE_S_CF3_R02,S,CF3,530101,1785,48,0.02689075630252101,23.0,1.0,41.824353975243866,0.6812673998791453,0.0
CSG-NI Full,CB1_CORE_S_CF3_R02,S,CF3,530102,1942,114,0.05870236869207003,23.0,1.0,37.25311649031937,0.6575340861578322,0.0
CSG-NI Full,CB1_CORE_S_CF3_R02,S,CF3,530103,1908,50,0.02620545073375262,23.0,1.0,37.16443048324436,0.6529508942892966,0.0
CSG-NI Full,CB1_CORE_S_CF3_R02,S,CF3,530104,1942,77,0.03964984552008239,23.0,1.0,36.96036248584278,0.6521147679626608,0.0
CSG-NI Full,CB1_CORE_S_CF3_R02,S,CF3,530105,1942,22,0.01132852729145211,23.0,1.0,37.170654512010515,0.6557454232982735,0.0
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530101,2013,1901,0.944361649279682,24.0,0.0,60.69274299989047,0.3544905394852525,4.060600999764574
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530102,2034,628,0.3087512291052114,24.0,0.0,62.258030499833694,0.35706698853769636,0.0
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530103,2007,1140,0.5680119581464873,24.0,0.0,58.124137000049814,0.3419986781206088,3.943175000131305
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530104,2014,610,0.3028798411122145,24.0,0.0,57.36094900021271,0.34066556747869847,0.0
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530105,2013,1787,0.8877297565822156,24.0,0.0,57.34621200008405,0.3450712552705806,4.041101000439085
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530101,2079,1938,0.9321789321789322,24.0,0.0,55.21842799953447,0.3629613003901414,3.8022779999664635
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530102,2042,2008,0.9833496571988247,24.0,0.0,57.840397500058316,0.36123478695526706,3.883813000356895
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530103,2048,1988,0.970703125,24.0,0.0,59.55978700012565,0.3720845569300618,3.826958499757893
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530104,2086,1869,0.8959731543624161,24.0,0.0,56.212211499314435,0.3589802059144417,3.8396894988181884
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530105,2084,2017,0.9678502879078695,24.0,0.0,56.96040049951989,0.35933537384454656,3.7975189998178394
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530101,2058,79,0.038386783284742466,24.0,0.0,55.543203499837546,0.32818205992555893,0.0
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530102,2058,150,0.0728862973760933,24.0,0.0,55.59494200042536,0.33442070457278567,0.0
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530103,2044,65,0.031800391389432484,24.0,0.0,56.67689300025813,0.33201424471304253,0.0
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530104,2047,74,0.0361504640937958,24.0,0.0,58.49875500098278,0.3437930599209395,0.0
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530105,2004,822,0.4101796407185629,24.0,0.0,59.44363050002721,0.3481182612472165,0.0
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530101,2017,1729,0.8572136836886465,24.0,0.0,56.26489499991294,0.3567830665403411,3.8450280007964466
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530102,2040,1516,0.7431372549019608,24.0,0.0,57.83925650121091,0.35825444958064906,3.849001999697066
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530103,2037,1801,0.8841433480608738,24.0,0.0,57.3831040001096,0.3586814922987337,3.8331340001604985
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530104,2056,546,0.26556420233463035,24.0,0.0,56.01541199939675,0.3494547414376431,0.0
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,530105,2079,581,0.27946127946127947,24.0,0.0,56.8083989983279,0.3637092347030677,0.0
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,530101,2012,189,0.09393638170974156,24.0,0.0,59.11420700067538,0.3491280899076088,0.0
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,530102,2017,80,0.03966286564204264,24.0,0.0,59.06722400141007,0.3517533303386624,0.0
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,530103,2020,238,0.11782178217821782,24.0,0.0,58.88985949968628,0.3500160352887492,0.0
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,530104,2027,114,0.056240749876665025,24.0,0.0,59.67891399996006,0.35290151745178966,0.0
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,530105,1958,849,0.43360572012257403,24.0,0.0,60.987556500549545,0.3543023655736266,0.0
Uniform full-bank selection,CB1_CORE_L_CF3_R02,L,CF3,530101,2072,1615,0.7794401544401545,24.0,0.0,55.577354501110676,0.39555198214483467,3.4073870001520845
Uniform full-bank selection,CB1_CORE_L_CF3_R02,L,CF3,530102,2064,1751,0.8483527131782945,24.0,0.0,56.37283200121601,0.39201639401213223,3.44760700045299
Uniform full-bank selection,CB1_CORE_L_CF3_R02,L,CF3,530103,2057,2004,0.9742343218279047,24.0,0.0,56.258384000102524,0.39681221338933087,3.4786550004355377
Uniform full-bank selection,CB1_CORE_L_CF3_R02,L,CF3,530104,2040,1989,0.975,24.0,0.0,58.481827499235806,0.402514919668938,3.4622664998096297
Uniform full-bank selection,CB1_CORE_L_CF3_R02,L,CF3,530105,2067,993,0.48040638606676345,24.0,0.0,56.852478001019335,0.3989047410657268,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R01,M,CF1,530101,2380,40,0.01680672268907563,24.0,0.0,40.52358699937031,0.45630858568847954,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R01,M,CF1,530102,2382,27,0.011335012594458438,24.0,0.0,40.09438649973163,0.46670699490488093,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R01,M,CF1,530103,2333,42,0.018002571795970854,24.0,0.0,40.80727099972137,0.47330277011739835,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R01,M,CF1,530104,2386,29,0.012154233025984913,24.0,0.0,41.87114499927702,0.46955569277336245,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R01,M,CF1,530105,2257,76,0.033673017279574655,24.0,0.0,43.48864500025229,0.4890318565495205,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R02,M,CF1,530101,2299,142,0.061765985210961286,24.0,0.0,46.50406399923668,0.44548130101897526,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R02,M,CF1,530102,2373,81,0.03413400758533502,24.0,0.0,41.8750219996582,0.41739940824055993,0.0
Uniform full-bank selection,CB1_CORE_M_CF1_R02,M,CF1,530103,2354,82,0.034834324553950725,24.0,0.0,42.56201750104083,0.43398823604445297,0.0
