instance,instance_seed,level,split,group,ppo_seed,bc_makespan,ppo_makespan,bc_o_ppo_mwf,ppo_o_bc_mwf,bc_om_ppo_wf,ppo_om_bc_wf,bc_omw_ppo_f,ppo_omw_bc_f,all_feasible
synthetic_M_64002,64002,M,phase5a_structural,fleet_scarcity,510102,2330.0,2329.0,2330.0,2347.0,2330.0,2329.0,2330.0,2329.0,True
synthetic_M_64003,64003,M,phase5a_structural,fleet_scarcity,510102,1595.0,1578.0,1595.0,1615.0,1595.0,1578.0,1595.0,1578.0,True
synthetic_M_64001,64001,M,phase5a_structural,high_travel,510102,2110.0,2072.0,2117.0,2121.0,2114.0,2106.0,2114.0,2060.0,True
synthetic_M_64002,64002,M,phase5a_structural,high_travel,510102,1348.0,1928.0,1408.0,2083.0,1538.0,2065.0,1468.0,2065.0,True
synthetic_M_64003,64003,M,phase5a_structural,high_travel,510102,1645.0,1620.0,1645.0,1614.0,1645.0,1620.0,1645.0,1620.0,True
synthetic_S_71001,71001,S,phase5b_holdout,S,510102,224.0,212.0,221.0,212.0,224.0,212.0,224.0,212.0,True
synthetic_S_71002,71002,S,phase5b_holdout,S,510102,784.0,795.0,785.0,786.0,784.0,802.0,784.0,795.0,True
synthetic_S_71003,71003,S,phase5b_holdout,S,510102,309.0,250.0,309.0,303.0,309.0,303.0,309.0,303.0,True
synthetic_S_71004,71004,S,phase5b_holdout,S,510102,332.0,328.0,332.0,325.0,332.0,325.0,332.0,325.0,True
synthetic_S_71005,71005,S,phase5b_holdout,S,510102,192.0,197.0,184.0,182.0,184.0,192.0,184.0,189.0,True
synthetic_S_71006,71006,S,phase5b_holdout,S,510102,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,True
synthetic_S_71007,71007,S,phase5b_holdout,S,510102,266.0,257.0,265.0,257.0,266.0,257.0,266.0,257.0,True
synthetic_S_71008,71008,S,phase5b_holdout,S,510102,546.0,545.0,561.0,545.0,549.0,545.0,546.0,545.0,True
synthetic_S_71009,71009,S,phase5b_holdout,S,510102,426.0,412.0,417.0,407.0,419.0,421.0,418.0,415.0,True
synthetic_S_71010,71010,S,phase5b_holdout,S,510102,289.0,275.0,281.0,292.0,280.0,292.0,291.0,285.0,True
synthetic_S_71011,71011,S,phase5b_holdout,S,510102,334.0,340.0,311.0,311.0,325.0,312.0,325.0,318.0,True
synthetic_S_71012,71012,S,phase5b_holdout,S,510102,536.0,539.0,534.0,541.0,536.0,539.0,536.0,539.0,True
synthetic_S_71013,71013,S,phase5b_holdout,S,510102,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,True
synthetic_S_71014,71014,S,phase5b_holdout,S,510102,212.0,226.0,203.0,226.0,203.0,226.0,203.0,226.0,True
synthetic_S_71015,71015,S,phase5b_holdout,S,510102,394.0,351.0,380.0,410.0,366.0,403.0,366.0,403.0,True
synthetic_S_71016,71016,S,phase5b_holdout,S,510102,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,True
synthetic_S_71017,71017,S,phase5b_holdout,S,510102,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,True
synthetic_S_71018,71018,S,phase5b_holdout,S,510102,475.0,439.0,421.0,478.0,421.0,472.0,454.0,423.0,True
synthetic_S_71019,71019,S,phase5b_holdout,S,510102,566.0,584.0,575.0,575.0,566.0,584.0,566.0,584.0,True
synthetic_S_71020,71020,S,phase5b_holdout,S,510102,426.0,416.0,406.0,420.0,406.0,408.0,406.0,416.0,True
synthetic_M_72001,72001,M,phase5b_holdout,M,510102,1249.0,1161.0,1125.0,985.0,1223.0,967.0,1223.0,1148.0,True
synthetic_M_72002,72002,M,phase5b_holdout,M,510102,1162.0,1124.0,1139.0,1162.0,1123.0,1121.0,1102.0,1134.0,True
synthetic_M_72003,72003,M,phase5b_holdout,M,510102,952.0,867.0,887.0,880.0,903.0,879.0,854.0,867.0,True
synthetic_M_72004,72004,M,phase5b_holdout,M,510102,1616.0,1608.0,1562.0,1592.0,1616.0,1608.0,1616.0,1608.0,True
synthetic_M_72005,72005,M,phase5b_holdout,M,510102,723.0,713.0,694.0,673.0,724.0,713.0,724.0,713.0,True
synthetic_M_72006,72006,M,phase5b_holdout,M,510102,1305.0,1359.0,1285.0,1381.0,1326.0,1174.0,1326.0,1174.0,True
synthetic_M_72007,72007,M,phase5b_holdout,M,510102,833.0,651.0,660.0,765.0,615.0,602.0,723.0,597.0,True
synthetic_M_72008,72008,M,phase5b_holdout,M,510102,546.0,600.0,556.0,600.0,551.0,611.0,561.0,611.0,True
synthetic_M_72009,72009,M,phase5b_holdout,M,510102,1132.0,1219.0,1120.0,1117.0,1117.0,1121.0,1132.0,1219.0,True
synthetic_M_72010,72010,M,phase5b_holdout,M,510102,1158.0,1170.0,1108.0,1090.0,1158.0,1170.0,1158.0,1170.0,True
synthetic_M_72011,72011,M,phase5b_holdout,M,510102,3352.0,3238.0,3196.0,3330.0,3409.0,3250.0,3352.0,3238.0,True
synthetic_M_72012,72012,M,phase5b_holdout,M,510102,1345.0,1313.0,1284.0,1317.0,1345.0,1283.0,1345.0,1313.0,True
synthetic_M_72013,72013,M,phase5b_holdout,M,510102,1201.0,968.0,956.0,1049.0,974.0,995.0,1021.0,984.0,True
synthetic_M_72014,72014,M,phase5b_holdout,M,510102,688.0,638.0,642.0,712.0,602.0,682.0,673.0,682.0,True
synthetic_M_72015,72015,M,phase5b_holdout,M,510102,1028.0,1025.0,1041.0,1023.0,1028.0,1025.0,1028.0,1025.0,True
synthetic_M_72016,72016,M,phase5b_holdout,M,510102,2468.0,2476.0,2457.0,2509.0,2468.0,2476.0,2468.0,2476.0,True
synthetic_M_72017,72017,M,phase5b_holdout,M,510102,1583.0,1553.0,1583.0,1609.0,1637.0,1565.0,1649.0,1553.0,True
synthetic_M_72018,72018,M,phase5b_holdout,M,510102,1337.0,1386.0,1340.0,1388.0,1337.0,1386.0,1337.0,1386.0,True
synthetic_M_72019,72019,M,phase5b_holdout,M,510102,1266.0,1268.0,1253.0,1282.0,1266.0,1275.0,1266.0,1268.0,True
synthetic_M_72020,72020,M,phase5b_holdout,M,510102,1433.0,1187.0,1216.0,1474.0,1334.0,1269.0,1336.0,1269.0,True
synthetic_L_73001,73001,L,phase5b_holdout,L,510102,1983.0,1505.0,1521.0,1812.0,1521.0,1821.0,1521.0,1821.0,True
