instance_id,scale,CF_level,algorithm,mean_improvement_over_ppo_percent,best_improvement_over_ppo_percent
CB1_CORE_S_CF3_R02,S,CF3,ALNS-H1,22.836746466685902,25.194692817998273
CB1_CORE_S_CF3_R02,S,CF3,Adapted DCGA,19.36256129218345,20.695125468704937
CB1_CORE_S_CF3_R02,S,CF3,GA,26.120565330256714,27.747331987308918
CB1_CORE_S_CF3_R03,S,CF3,ALNS-H1,15.625849313000144,17.424128038653173
CB1_CORE_S_CF3_R03,S,CF3,Adapted DCGA,10.742865770798725,14.162766118073375
CB1_CORE_S_CF3_R03,S,CF3,GA,20.101162615129088,22.859731239619503
CB1_CORE_S_CF3_R04,S,CF3,ALNS-H1,45.534872761545714,45.95900094250707
CB1_CORE_S_CF3_R04,S,CF3,Adapted DCGA,37.741517436380775,39.5617342130066
CB1_CORE_S_CF3_R04,S,CF3,GA,46.683553251649386,49.705466540999055
CB1_CORE_S_CF3_R05,S,CF3,ALNS-H1,48.0310824121703,49.731859472474554
CB1_CORE_S_CF3_R05,S,CF3,Adapted DCGA,43.953157491518006,45.167998248878185
CB1_CORE_S_CF3_R05,S,CF3,GA,48.940571303491296,50.848199627886615
