instance_id,algorithm,seed,makespan,runtime,time_limit,time_to_best,decoder_evaluations,feasible,suite,freeze_hash,result_path,scale,CF_level,number_of_operations,runtime_ratio
CB1_CORE_L_CF1_R05,Adapted DCGA,530102,5386.0,342.09675933100516,342.0,302.09214707498904,2682,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530102.json,L,CF1,171,1.000282922020483
CB1_CORE_L_CF1_R05,Adapted DCGA,530103,5471.0,342.18795805898844,342.0,291.9360594259924,2866,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530103.json,L,CF1,171,1.0005495849678026
CB1_CORE_L_CF1_R05,Adapted DCGA,530104,5336.0,342.01840579899726,342.0,314.7016025110206,2826,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530104.json,L,CF1,171,1.000053818125723
CB1_CORE_L_CF1_R05,Adapted DCGA,530105,5428.0,342.0643689199933,342.0,318.8059125280124,2938,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530105.json,L,CF1,171,1.0001882132163546
CB1_CORE_L_CF1_R05,Adapted DCGA,530106,5404.0,342.0183245789958,342.0,128.1883067759918,2694,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530106.json,L,CF1,171,1.0000535806403386
CB1_CORE_L_CF1_R05,Adapted DCGA,530107,5491.0,342.1850076620176,342.0,281.09035505901556,2756,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530107.json,L,CF1,171,1.000540958076075
CB1_CORE_L_CF1_R05,Adapted DCGA,530108,5492.0,342.1519694989838,342.0,143.14367810898693,2630,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530108.json,L,CF1,171,1.0004443552601865
CB1_CORE_L_CF1_R05,Adapted DCGA,530109,5334.0,342.18788432798465,342.0,154.0696628440055,2876,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530109.json,L,CF1,171,1.000549369380072
CB1_CORE_L_CF1_R05,Adapted DCGA,530110,5463.0,342.12584274300025,342.0,340.3129371640098,2808,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R05/seed_530110.json,L,CF1,171,1.0003679612368428
CB1_CORE_L_CF2_R01,Adapted DCGA,530101,5998.0,390.0393677459797,390.0,168.7308549209847,2732,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF2_R01/seed_530101.json,L,CF2,195,1.0001009429384096
