curve_type,rank_variable,x,lower,upper,count,mean_probability,positive_rate,negative_outcome_rate,mean_advantage,mean_rank_statistic,coverage
selective_coverage,selector_lcb_lambda_0_5,0.05,,,15,0.5024921894073486,0.6,0.4,0.00834686598750633,-0.026849071323455508,
selective_coverage,selector_lcb_lambda_0_5,0.1,,,29,0.503953218460083,0.6551724137931034,0.3448275862068966,0.011339980887681511,-0.032971172865497646,
selective_coverage,selector_lcb_lambda_0_5,0.15000000000000002,,,44,0.5082282423973083,0.6363636363636364,0.36363636363636365,0.012958811223803483,-0.03949270863747253,
selective_coverage,selector_lcb_lambda_0_5,0.2,,,58,0.5080212354660034,0.603448275862069,0.39655172413793105,0.012123841670747553,-0.04488231523616351,
selective_coverage,selector_lcb_lambda_0_5,0.25,,,72,0.5105406641960144,0.5972222222222222,0.4027777777777778,0.011173934209518272,-0.05004756242731193,
selective_coverage,selector_lcb_lambda_0_5,0.3,,,87,0.5040766000747681,0.6091954022988506,0.39080459770114945,0.013117383766342462,-0.0590383200805945,
selective_coverage,selector_lcb_lambda_0_5,0.35000000000000003,,,101,0.4983419179916382,0.6039603960396039,0.39603960396039606,0.011950309837742956,-0.07213344979552308,
selective_coverage,selector_lcb_lambda_0_5,0.4,,,116,0.4949146807193756,0.6120689655172413,0.3879310344827586,0.01197906746700404,-0.08644762824506849,
selective_coverage,selector_lcb_lambda_0_5,0.45,,,130,0.4936947226524353,0.6,0.4,0.009858983144864905,-0.09859449515640567,
selective_coverage,selector_lcb_lambda_0_5,0.5,,,144,0.4920083284378052,0.5902777777777778,0.4097222222222222,0.008551483465831605,-0.110599165827922,
selective_coverage,selector_lcb_lambda_0_5,0.55,,,159,0.4907086491584778,0.5786163522012578,0.42138364779874216,0.008079956584262868,-0.12432240340896666,
selective_coverage,selector_lcb_lambda_0_5,0.6000000000000001,,,173,0.4917645752429962,0.5838150289017341,0.4161849710982659,0.008572219255368095,-0.1395816555151765,
selective_coverage,selector_lcb_lambda_0_5,0.6500000000000001,,,188,0.4917934536933899,0.5904255319148937,0.4095744680851064,0.00888900763619456,-0.1573978008254703,
selective_coverage,selector_lcb_lambda_0_5,0.7000000000000001,,,202,0.4925270080566406,0.5841584158415841,0.4158415841584158,0.008883886996833712,-0.17470896862952212,
selective_coverage,selector_lcb_lambda_0_5,0.7500000000000001,,,217,0.4933655560016632,0.5852534562211982,0.4147465437788018,0.008752927680346747,-0.19332636071240908,
selective_coverage,selector_lcb_lambda_0_5,0.8,,,231,0.4954892694950104,0.5844155844155844,0.4155844155844156,0.008413817855988003,-0.21057242523334735,
