scale,CF_level,RI_level,TI_level,search_stage,bottleneck_proxy,arm_count,state_count,positive_fraction,mean_absolute_improvement,mean_relative_improvement,best_arm_fraction,mean_runtime,mean_decoder_evaluations
L,CF1,RI3,TI2,40-60%,RECONFIGURATION,209,15,0.0,-262.36842105263156,-0.05541043739231923,0.07177033492822966,0.28321440558850525,8.0
L,CF1,RI3,TI2,40-60%,W_LOGISTICS,140,10,0.02142857142857143,-171.46428571428572,-0.035805635137904024,0.07142857142857142,0.28296808382141797,8.0
L,CF1,RI3,TI2,60-80%,RECONFIGURATION,348,25,0.0,-254.67528735632183,-0.05378569954726966,0.07183908045977011,0.28392448971837814,8.0
L,CF1,RI3,TI2,80-100%,RECONFIGURATION,348,25,0.0028735632183908046,-258.89942528735634,-0.05467780893080387,0.07183908045977011,0.2843585092183803,8.0
L,CF1,RI3,TI3,0-20%,CROSS_RESOURCE_SYNCHRONIZATION,14,1,0.7857142857142857,170.14285714285714,0.015751051392599254,0.07142857142857142,0.2806468126427717,8.0
L,CF1,RI3,TI3,0-20%,F_LOGISTICS,28,2,0.7857142857142857,88.25,0.008208327907127019,0.07142857142857142,0.25331221621425876,8.0
L,CF1,RI3,TI3,0-20%,RECONFIGURATION,28,2,0.6428571428571429,62.82142857142857,0.005229291329975564,0.07142857142857142,0.2803446311070599,8.0
L,CF1,RI3,TI3,0-20%,W_LOGISTICS,280,20,0.5857142857142857,15.592857142857143,0.0011782449597371582,0.07142857142857142,0.2794546200500268,8.0
L,CF1,RI3,TI3,20-40%,CROSS_RESOURCE_SYNCHRONIZATION,68,5,0.19117647058823528,-176.36764705882354,-0.01881019009300315,0.07352941176470588,0.28699051869114767,8.0
L,CF1,RI3,TI3,20-40%,RECONFIGURATION,70,5,0.15714285714285714,-226.92857142857142,-0.024408759207033007,0.07142857142857142,0.28512051551431017,8.0
L,CF1,RI3,TI3,20-40%,W_LOGISTICS,209,15,0.24880382775119617,-169.96172248803828,-0.01793370188951,0.07177033492822966,0.2867407053253456,8.0
L,CF1,RI3,TI3,40-60%,W_LOGISTICS,348,25,0.022988505747126436,-309.8103448275862,-0.03370265880328605,0.07183908045977011,0.28433659860632193,8.0
L,CF1,RI3,TI3,60-80%,W_LOGISTICS,346,25,0.02023121387283237,-331.6329479768786,-0.03611379156886405,0.07225433526011561,0.284694012670552,8.0
L,CF1,RI3,TI3,80-100%,W_LOGISTICS,348,25,0.005747126436781609,-362.61206896551727,-0.039630492701669046,0.07183908045977011,0.28561510109481486,8.0
L,CF2,RI1,TI1,0-20%,CROSS_RESOURCE_SYNCHRONIZATION,14,1,0.2857142857142857,-66.28571428571429,-0.021676165561057645,0.07142857142857142,0.23201879300001696,8.0
L,CF2,RI1,TI1,0-20%,RECONFIGURATION,69,5,0.13043478260869565,-166.05797101449275,-0.057583173160950095,0.07246376811594203,0.2913327420290021,8.0
L,CF2,RI1,TI1,0-20%,W_LOGISTICS,263,19,0.4828897338403042,-23.372623574144487,-0.008326190660207981,0.07224334600760456,0.28714045672243804,8.0
L,CF2,RI1,TI1,20-40%,RECONFIGURATION,42,3,0.14285714285714285,-156.35714285714286,-0.05474081062789561,0.07142857142857142,0.29297114588096174,8.0
L,CF2,RI1,TI1,20-40%,W_LOGISTICS,307,22,0.13680781758957655,-147.52117263843647,-0.05360467979592806,0.07166123778501629,0.28616028457002357,8.0
L,CF2,RI1,TI1,40-60%,RECONFIGURATION,14,1,0.0,-315.92857142857144,-0.11640699020949574,0.07142857142857142,0.28684450164272285,8.0
L,CF2,RI1,TI1,40-60%,W_LOGISTICS,335,24,0.01791044776119403,-198.82985074626865,-0.07356011687735375,0.07164179104477612,0.28615196083282807,8.0
L,CF2,RI1,TI1,60-80%,W_LOGISTICS,347,25,0.002881844380403458,-366.8242074927954,-0.13852877926465082,0.07204610951008646,0.2913926823717618,8.0
L,CF2,RI1,TI1,80-100%,W_LOGISTICS,349,25,0.0,-301.91404011461316,-0.11545574357217864,0.07163323782234957,0.2908720237822108,8.0
