state_id,instance_id,target_set_id,oof_fold,scale,CF_level,search_stage,origin_family,primary_origin_rule,origin_destroy_operator,selected_winner,categorical_reason_count,numeric_reason_count,reason_count,multiple_causes,maximum_absolute_robust_z,categorical_reasons,numeric_reasons,reason_signature
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_d84cc908c6204ada5727,1,L,CF1,80-100%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,2,2,True,76923.07692307694,,numeric_robust_z:critical_overlap_fraction+numeric_robust_z:bottleneck_overlap_fraction,numeric_robust_z:critical_overlap_fraction+numeric_robust_z:bottleneck_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_13b72d69c717c6a79930,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_1c806de750161d4c9c15,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_d72a433aa1fba52470e2,1,L,CF1,0-20%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,True,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_1063bda44dac55aab2c6,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_22af4fca36d5add487ec,1,L,CF1,0-20%,MATCHED_RANDOM,matched_random_3,random,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_7a50d0e8969e55d20a09,1,L,CF1,0-20%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_ec5ee5e6ec54b5331f5a,1,L,CF1,0-20%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,True,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_05d74d8387b8b099da4a,1,L,CF1,20-40%,STRUCTURED_NEAR_NEIGHBOR,near_same_island_chain,related,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_08e8c9a837a5996cee38,1,L,CF1,20-40%,RELATED_VARIANT,related_variant_4,related,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_28ca72524e1e9ffca731,1,L,CF1,20-40%,RELATED_VARIANT,related_variant_1,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
