method,instance_id,instance_sha256,scale,CF_level,cell_replicate,seed,num_operations,budget_seconds,final_makespan,runtime_seconds,outer_runtime_seconds,best_found_seconds,decoder_evaluations,iterations,neural_decisions,fallback_count,feasible,result_path,current_development_bks,rpd_percent,hit_current_development_bks
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,94cd02375f0a1e0e878aaf1591384d4eaceee39aab3ebab323e7739ac2e086d7,M,CF3,C02,746101,116,232.0,3283.0,232.14287750600488,232.14302044798387,0.16928567297873087,21082,2636,528,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746101.json,2922.0,12.354551676933607,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,94cd02375f0a1e0e878aaf1591384d4eaceee39aab3ebab323e7739ac2e086d7,M,CF3,C02,746102,116,232.0,3188.0,232.1123883399996,232.1125022659835,196.14899336601957,21282,2661,533,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746102.json,2922.0,9.103353867214237,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,94cd02375f0a1e0e878aaf1591384d4eaceee39aab3ebab323e7739ac2e086d7,M,CF3,C02,746103,116,232.0,3220.0,232.10242376002134,232.10254110698588,113.12838640101836,21242,2656,532,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746103.json,2922.0,10.198494182067078,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12,12ff9dd4ce3a668c89ba8edd8ee0c9f87232f00b8ce8dbb42a4827402c20047a,S,CF1,C01,746101,61,122.0,1645.0,122.09897588199237,122.09906472900184,69.85635122001986,18482,2311,463,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746101.json,1645.0,0.0,True
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12,12ff9dd4ce3a668c89ba8edd8ee0c9f87232f00b8ce8dbb42a4827402c20047a,S,CF1,C01,746102,61,122.0,1647.0,122.00072817300679,122.00082451998605,113.77768410099088,18554,2320,464,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746102.json,1645.0,0.12158054711246201,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12,12ff9dd4ce3a668c89ba8edd8ee0c9f87232f00b8ce8dbb42a4827402c20047a,S,CF1,C01,746103,61,122.0,1648.0,122.0011832510063,122.00133584201103,100.28889282798627,18465,2308,462,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746103.json,1645.0,0.182370820668693,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,74a7fad62f6bab915dde95c71d8cee211cc37cf7ba296a7f69869350a5c295d4,S,CF1,C02,746101,56,112.0,1862.0,112.00165776902577,112.00178293400677,96.11158992300625,17566,2196,440,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12_C02/seed_746101.json,1783.0,4.430734716769489,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,74a7fad62f6bab915dde95c71d8cee211cc37cf7ba296a7f69869350a5c295d4,S,CF1,C02,746102,56,112.0,1933.0,112.07931144800386,112.07940595998662,0.25665245298296213,17482,2186,438,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12_C02/seed_746102.json,1783.0,8.412787436904095,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,74a7fad62f6bab915dde95c71d8cee211cc37cf7ba296a7f69869350a5c295d4,S,CF1,C02,746103,56,112.0,1854.0,112.02668792501208,112.02676771901315,28.410356503009098,17522,2191,439,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF1_RI2_TI2_R12_C02/seed_746103.json,1783.0,3.9820527201346048,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12,539a503ec74ff5d21200fb1410004fe10142f209ce1f6e910a08abb20b2d8f23,S,CF2,C01,746101,60,120.0,1743.0,120.12821352199535,120.12829867302207,19.86392361301114,18122,2266,454,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12/seed_746101.json,1588.0,9.760705289672543,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12,539a503ec74ff5d21200fb1410004fe10142f209ce1f6e910a08abb20b2d8f23,S,CF2,C01,746102,60,120.0,1678.0,120.11442383099347,120.11450929299463,78.851053210994,18162,2271,455,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12/seed_746102.json,1588.0,5.667506297229219,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12,539a503ec74ff5d21200fb1410004fe10142f209ce1f6e910a08abb20b2d8f23,S,CF2,C01,746103,60,120.0,1736.0,120.05376796299242,120.05385270499391,86.84298426899477,18082,2261,453,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12/seed_746103.json,1588.0,9.319899244332493,False
