method,instance_id,scale,CF_level,cell_replicate,seed,budget_seconds,result_source,final_makespan,runtime_seconds,outer_runtime_seconds,best_found_seconds,decoder_evaluations,iterations,neural_decisions,fallback_count,feasible,result_path
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,C02,746103,126.0,NEW_RUN,1973.0,126.04062099402654,126.04070753999986,93.83509356001741,18642,2331,467,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF2_RI2_TI2_R12_C02/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,C01,746101,122.0,NEW_RUN,1804.0,122.00128161898465,122.00136835998273,97.91944470998715,18331,2292,459,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF3_RI2_TI2_R12/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,C01,746102,122.0,NEW_RUN,1798.0,122.01761399398674,122.01770298599149,113.42308385999058,18282,2286,458,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF3_RI2_TI2_R12/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,C01,746103,122.0,NEW_RUN,1775.0,122.1383630640048,122.13846376398578,114.13191901700338,18282,2286,458,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF3_RI2_TI2_R12/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,C02,746101,126.0,NEW_RUN,1858.0,126.02403773300466,126.02413567600888,98.69417257999885,18482,2311,463,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF3_RI2_TI2_R12_C02/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,C02,746102,126.0,NEW_RUN,1756.0,126.06461214699084,126.06470173000707,107.10479460298666,18482,2311,463,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF3_RI2_TI2_R12_C02/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,C02,746103,126.0,NEW_RUN,1819.0,126.00201335200109,126.0021632979915,63.093838147993665,18705,2338,468,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_S_CF3_RI2_TI2_R12_C02/seed_746103.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,746101,332.0,NEW_RUN,3566.0,332.19004666098044,332.19017257000087,176.99247469898546,20162,2521,505,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746101.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,746102,332.0,NEW_RUN,3548.0,332.00456402701093,332.0048739849881,194.44345608900767,20273,2534,507,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746102.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,746103,332.0,NEW_RUN,3545.0,332.0108726430044,332.01099472198985,323.1731461780146,20314,2540,508,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746103.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,746101,344.0,NEW_RUN,3737.0,344.0005864679988,344.0007769810036,333.2814418640046,19948,2494,499,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746101.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,746102,344.0,NEW_RUN,3779.0,344.0127216630208,344.01285793597344,234.92483214801177,20026,2504,501,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746102.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,746103,344.0,NEW_RUN,3769.0,344.0409202419978,344.0410950600053,213.40143904901925,19922,2491,499,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746103.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,746101,376.0,NEW_RUN,4236.0,376.0050986270071,376.0053864779766,170.58112317399355,19663,2458,492,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746101.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,746102,376.0,NEW_RUN,4551.0,376.12439529501717,376.12454326599254,286.96748532299534,19682,2461,493,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746102.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,746103,376.0,NEW_RUN,4375.0,376.00742192799225,376.00762810601736,273.7992987119942,19668,2459,492,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746103.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,C02,746101,388.0,NEW_RUN,4148.0,388.0001294699905,388.00033820499084,1.1326878480031155,19779,2473,495,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF2_RI2_TI2_R12_C02/seed_746101.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,C02,746102,388.0,NEW_RUN,4203.0,388.00006326200673,388.00033862900455,0.5233664230036084,19781,2473,495,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF2_RI2_TI2_R12_C02/seed_746102.json
PHASE6N_DETERMINISTIC_TOP1,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,C02,746103,388.0,NEW_RUN,4091.0,388.10545755000203,388.1056770759751,3.300365775008686,19722,2466,494,0,True,outputs/frozen_2o_baselines/phase6n/runs/CB1_CAUR_L_CF2_RI2_TI2_R12_C02/seed_746103.json
