instance_id,method,makespan,runtime_seconds,inference_seconds,feasible,family,training_seed,gap_to_bc_percent
HU_E_la07,PHASE5B_DOWNSTREAM_PPO,1844.0,3.3420367850048933,2.870753480034182,True,Hurink E,520102,-2.4854574299312535
HU_E_la07,PHASE5B_DOWNSTREAM_PPO,1806.0,3.405817459017271,2.880612497101538,True,Hurink E,520103,-4.49497620306716
HU_E_la08,BC_GREEDY,1387.0,1.499237272015307,1.024245773704024,True,Hurink E,BC,0.0
HU_E_la08,H1,1294.0,0.06574503501178697,0.06574503501178697,True,Hurink E,NA,-6.705118961788032
HU_E_la08,H2,1303.0,0.01903049397515133,0.01903049397515133,True,Hurink E,NA,-6.056236481614996
HU_E_la08,PHASE5B_DOWNSTREAM_PPO,1343.0,3.3285835400165524,2.8500059000507463,True,Hurink E,520101,-3.172314347512617
HU_E_la08,PHASE5B_DOWNSTREAM_PPO,1358.0,3.342711113014957,2.856646115134936,True,Hurink E,520102,-2.090843547224225
HU_E_la08,PHASE5B_DOWNSTREAM_PPO,1410.0,3.3335770549892914,2.8443335549673066,True,Hurink E,520103,1.658255227108868
HU_E_la09,BC_GREEDY,1870.0,1.5127114380011335,1.0311874977778643,True,Hurink E,BC,0.0
HU_E_la09,H1,1765.0,0.06328380698687397,0.06328380698687397,True,Hurink E,NA,-5.614973262032086
HU_E_la09,H2,1769.0,0.02029386899084784,0.02029386899084784,True,Hurink E,NA,-5.401069518716578
HU_E_la09,PHASE5B_DOWNSTREAM_PPO,1792.0,3.3778110049897805,2.9158182750397827,True,Hurink E,520101,-4.171122994652406
HU_E_la09,PHASE5B_DOWNSTREAM_PPO,1884.0,3.4409634479961824,2.951167609920958,True,Hurink E,520102,0.7486631016042781
HU_E_la09,PHASE5B_DOWNSTREAM_PPO,1874.0,3.392634160001762,2.9058134182705544,True,Hurink E,520103,0.21390374331550802
HU_E_la10,BC_GREEDY,1637.0,1.5118455120245926,1.0317771408590488,True,Hurink E,BC,0.0
HU_E_la10,H1,1314.0,0.05882584600476548,0.05882584600476548,True,Hurink E,NA,-19.73121563836286
